day,dayNo,case
Mar27,1,1
Mar28,2,1
Mar29,3,3
Mar30,4,5
Mar31,5,5
Apr01,6,5
Apr02,7,5
Apr03,8,5
Apr04,9,5
Apr05,10,5
Apr06,11,6
Apr07,12,6
Apr08,13,6
Apr09,14,7
Apr10,15,7
Apr11,16,7
Apr12,17,7
Apr13,18,7
Apr14,19,7
Apr15,20,7
Apr16,21,7
Apr17,22,7
Apr18,23,7
Apr19,24,7
Apr20,25,7
Apr21,26,7
Apr22,27,7
Apr23,28,7
Apr24,29,7
Apr25,30,7
Apr26,31,7
Apr27,32,7
Apr28,33,8
Apr29,34,8
Apr30,35,8
May01,36,8
May02,37,9
May03,38,9
May04,39,9
May05,40,9
May06,41,9
May07,42,9
May08,43,9
May09,44,9
May10,45,9
May11,46,9
May12,47,9
May13,48,9
May14,49,9
May15,50,9
May16,51,9
May17,52,9
May18,53,9
May19,54,9
May20,55,9
May21,56,9
May22,57,9
May23,58,9
May24,59,9
May25,60,9
May26,61,9
May27,62,9
May28,63,9
May29,64,9
May30,65,9
May31,66,9
Jun01,67,9
Jun02,68,9
Jun03,69,9
Jun04,70,9
Jun05,71,9
Jun06,72,9
Jun07,73,9
Jun08,74,9
Jun09,75,9
Jun10,76,9
Jun11,77,9
Jun12,78,9
Jun13,79,9
Jun14,80,9
Jun15,81,9
Jun16,82,9
Jun17,83,9
Jun18,84,9
Jun19,85,9
Jun20,86,9
Jun21,87,9
Jun22,88,9
Jun23,89,9
Jun24,90,9
Jun25,91,9
Jun26,92,9
Jun27,93,9
Jun28,94,9
Jun29,95,9
Jun30,96,9
Jul01,97,9
Jul02,98,9
Jul03,99,10
Jul04,100,10
