day,dayNo,case
Mar13,1,4
Mar14,2,6
Mar15,3,9
Mar16,4,10
Mar17,5,33
Mar18,6,36
Mar19,7,44
Mar20,8,52
Mar21,9,54
Mar22,10,60
Mar23,11,62
Mar24,12,72
Mar25,13,81
Mar26,14,113
Mar27,15,150
Mar28,16,228
Mar29,17,284
Mar30,18,302
Mar31,19,343
Apr01,20,380
Apr02,21,435
Apr03,22,464
Apr04,23,531
Apr05,24,584
Apr06,25,662
Apr07,26,697
Apr08,27,727
Apr09,28,781
Apr10,29,812
Apr11,30,865
Apr12,31,951
Apr13,32,1091
Apr14,33,1232
Apr15,34,1295
Apr16,35,1402
Apr17,36,1546
Apr18,37,1615
Apr19,38,1676
Apr20,39,1852
Apr21,40,1995
Apr22,41,2135
Apr23,42,2289
Apr24,43,2416
Apr25,44,2601
Apr26,45,2717
Apr27,46,2835
Apr28,47,3027
Apr29,48,3138
Apr30,49,3402
May01,50,3597
