day,dayNo,case
Mar26,1,1
Mar27,2,1
Mar28,3,1
Mar29,4,1
Mar30,5,1
Mar31,6,2
Apr01,7,3
Apr02,8,3
Apr03,9,3
Apr04,10,5
Apr05,11,6
Apr06,12,6
Apr07,13,6
Apr08,14,7
Apr09,15,8
Apr10,16,10
Apr11,17,10
Apr12,18,10
Apr13,19,12
Apr14,20,14
Apr15,21,16
Apr16,22,17
Apr17,23,17
Apr18,24,17
Apr19,25,17
Apr20,26,19
Apr21,27,19
Apr22,28,19
Apr23,29,20
Apr24,30,25
Apr25,31,25
Apr26,32,25
Apr27,33,25
Apr28,34,25
Apr29,35,25
Apr30,36,25
May01,37,25
May02,38,25
May03,39,27
May04,40,29
May05,41,29
May06,42,30
May07,43,30
May08,44,31
May09,45,31
May10,46,31
May11,47,32
May12,48,32
May13,49,32
May14,50,32
May15,51,34
May16,52,34
May17,53,34
May18,54,35
May19,55,35
May20,56,35
May21,57,35
May22,58,35
May23,59,35
May24,60,35
May25,61,35
May26,62,37
May27,63,37
May28,64,37
May29,65,37
May30,66,38
May31,67,40
Jun01,68,41
Jun02,69,44
Jun03,70,48
Jun04,71,52
Jun05,72,52
Jun06,73,53
Jun07,74,53
Jun08,75,56
Jun09,76,61
Jun10,77,67
Jun11,78,67
Jun12,79,70
Jun13,80,73
Jun14,81,77
Jun15,82,81
Jun16,83,88
Jun17,84,97
Jun18,85,100
Jun19,86,113
Jun20,87,118
Jun21,88,120
Jun22,89,127
Jun23,90,134
Jun24,91,136
Jun25,92,140
Jun26,93,150
Jun27,94,166
Jun28,95,178
Jun29,96,188
Jun30,97,188
Jul01,98,188
Jul02,99,188
Jul03,100,188
Jul04,101,188
