day,dayNo,case
Mar13,1,1
Mar14,2,1
Mar15,3,3
Mar16,4,3
Mar17,5,4
Mar18,6,7
Mar19,7,7
Mar20,8,7
Mar21,9,7
Mar22,10,15
Mar23,11,16
Mar24,12,25
Mar25,13,28
Mar26,14,31
Mar27,15,31
Mar28,16,38
Mar29,17,42
Mar30,18,50
Mar31,19,59
Apr01,20,81
Apr02,21,110
Apr03,22,122
Apr04,23,126
Apr05,24,142
Apr06,25,158
Apr07,26,172
Apr08,27,179
Apr09,28,184
Apr10,29,189
Apr11,30,191
Apr12,31,197
Apr13,32,208
Apr14,33,216
Apr15,34,225
Apr16,35,234
Apr17,36,246
Apr18,37,262
Apr19,38,270
Apr20,39,281
Apr21,40,296
Apr22,41,303
Apr23,42,320
Apr24,43,336
Apr25,44,343
Apr26,45,355
Apr27,46,363
Apr28,47,374
Apr29,48,384
Apr30,49,396
May01,50,411
May02,51,435
May03,52,465
May04,53,490
May05,54,535
May06,55,582
May07,56,607
May08,57,621
May09,58,649
May10,59,672
May11,60,700
May12,61,715
May13,62,737
May14,63,758
May15,64,781
May16,65,830
May17,66,887
May18,67,912
May19,68,963
May20,69,1029
May21,70,1109
May22,71,1161
May23,72,1192
May24,73,1214
May25,74,1286
May26,75,1348
May27,76,1471
May28,77,1618
May29,78,1745
May30,79,1888
May31,80,1962
Jun01,81,2021
Jun02,82,2093
Jun03,83,2216
Jun04,84,2340
Jun05,85,2474
Jun06,86,2600
Jun07,87,2767
Jun08,88,2862
Jun09,89,2989
Jun10,90,3094
Jun11,91,3215
Jun12,92,3305
Jun13,93,3457
Jun14,94,3594
Jun15,95,3727
Jun16,96,3860
Jun17,97,4044
Jun18,98,4257
Jun19,99,4374
Jun20,100,4478
Jun21,101,4738
Jun22,102,4797
Jun23,103,4952
Jun24,104,5206
Jun25,105,5384
Jun26,106,5533
Jun27,107,5811
Jun28,108,6070
Jun29,109,6190
Jun30,110,6366
Jul01,111,6673
Jul02,112,6941
Jul03,113,7188
Jul04,114,7577
