day,dayNo,case
Mar26,1,1
Mar27,2,1
Mar28,3,1
Mar29,4,1
Mar30,5,1
Mar31,6,1
Apr01,7,1
Apr02,8,3
Apr03,9,4
Apr04,10,4
Apr05,11,4
Apr06,12,6
Apr07,13,6
Apr08,14,6
Apr09,15,7
Apr10,16,7
Apr11,17,7
Apr12,18,8
Apr13,19,9
Apr14,20,9
Apr15,21,10
Apr16,22,11
Apr17,23,11
Apr18,24,12
Apr19,25,14
Apr20,26,14
Apr21,27,14
Apr22,28,14
Apr23,29,14
Apr24,30,14
Apr25,31,14
Apr26,32,14
Apr27,33,14
Apr28,34,14
Apr29,35,15
Apr30,36,17
May01,37,21
May02,38,22
May03,39,24
May04,40,24
May05,41,24
May06,42,26
May07,43,29
May08,44,29
May09,45,30
May10,46,32
May11,47,33
May12,48,36
May13,49,40
May14,50,42
May15,51,45
May16,52,50
May17,53,50
May18,54,50
May19,55,50
May20,56,50
May21,57,50
May22,58,50
May23,59,50
May24,60,51
May25,61,52
May26,62,52
May27,63,55
May28,64,58
May29,65,62
May30,66,63
May31,67,64
Jun01,68,69
Jun02,69,71
Jun03,70,74
Jun04,71,78
Jun05,72,79
Jun06,73,83
Jun07,74,84
Jun08,75,85
Jun09,76,88
Jun10,77,89
Jun11,78,92
Jun12,79,96
Jun13,80,100
Jun14,81,103
Jun15,82,104
Jun16,83,105
Jun17,84,107
Jun18,85,117
Jun19,86,119
Jun20,87,121
Jun21,88,123
Jun22,89,125
Jun23,90,128
Jun24,91,130
Jun25,92,132
Jun26,93,137
Jun27,94,141
Jun28,95,143
Jun29,96,144
Jun30,97,148
Jul01,98,149
Jul02,99,152
Jul03,100,154
Jul04,101,159
