day,dayNo,case
Feb24,1,5
Feb25,2,11
Feb26,3,26
Feb27,4,43
Feb28,5,45
Feb29,6,45
Mar01,7,46
Mar02,8,56
Mar03,9,56
Mar04,10,56
Mar05,11,58
Mar06,12,58
Mar07,13,61
Mar08,14,64
Mar09,15,65
Mar10,16,69
Mar11,17,72
Mar12,18,80
Mar13,19,100
Mar14,20,104
Mar15,21,112
Mar16,22,123
Mar17,23,130
Mar18,24,142
Mar19,25,148
Mar20,26,159
Mar21,27,176
Mar22,28,188
Mar23,29,189
Mar24,30,191
Mar25,31,195
Mar26,32,208
Mar27,33,225
Mar28,34,235
Mar29,35,255
Mar30,36,266
Mar31,37,289
Apr01,38,317
Apr02,39,342
Apr03,40,417
Apr04,41,479
Apr05,42,556
Apr06,43,665
Apr07,44,743
Apr08,45,855
Apr09,46,910
Apr10,47,993
Apr11,48,1154
Apr12,49,1234
Apr13,50,1300
Apr14,51,1355
Apr15,52,1405
Apr16,53,1524
Apr17,54,1658
Apr18,55,1751
Apr19,56,1915
Apr20,57,1995
Apr21,58,2080
Apr22,59,2248
Apr23,60,2399
Apr24,61,2614
Apr25,62,2892
Apr26,63,3075
Apr27,64,3288
Apr28,65,3440
Apr29,66,3740
Apr30,67,4024
May01,68,4377
May02,69,4619
May03,70,4983
May04,71,5278
May05,72,5804
May06,73,6289
May07,74,6567
May08,75,7208
May09,76,7623
May10,77,8688
May11,78,9286
May12,79,10277
May13,80,11028
May14,81,11975
May15,82,12860
May16,83,13802
May17,84,14850
May18,85,15691
May19,86,16764
May20,87,17568
May21,88,18609
May22,89,19564
May23,90,20464
May24,91,21302
May25,92,21967
May26,93,22575
May27,94,23267
May28,95,24112
May29,96,25184
May30,97,26192
May31,98,27043
Jun01,99,27762
Jun02,100,28649
Jun03,101,29359
Jun04,102,29921
Jun05,103,30644
Jun06,104,31131
Jun07,105,31848
Jun08,106,32510
Jun09,107,33140
Jun10,108,33823
Jun11,109,34432
Jun12,110,34952
Jun13,111,35466
Jun14,112,35920
Jun15,113,36431
Jun16,114,36958
Jun17,115,37533
Jun18,116,38074
Jun19,117,38678
Jun20,118,39145
Jun21,119,39650
Jun22,120,40291
Jun23,121,41033
Jun24,122,41879
Jun25,123,42788
Jun26,124,43703
Jun27,125,44391
Jun28,126,44942
Jun29,127,45524
Jun30,128,46195
Jul01,129,46940
Jul02,130,47859
Jul03,131,48672
Jul04,132,49303
