day,dayNo,case
Apr04,1,1
Apr05,2,1
Apr06,3,1
Apr07,4,1
Apr08,5,1
Apr09,6,1
Apr10,7,1
Apr11,8,1
Apr12,9,1
Apr13,10,2
Apr14,11,3
Apr15,12,3
Apr16,13,3
Apr17,14,5
Apr18,15,6
Apr19,16,7
Apr20,17,9
Apr21,18,11
Apr22,19,13
Apr23,20,14
Apr24,21,15
Apr25,22,19
Apr26,23,20
Apr27,24,22
Apr28,25,23
Apr29,26,24
Apr30,27,26
May01,28,30
May02,29,33
May03,30,38
May04,31,40
May05,32,40
May06,33,42
May07,34,44
May08,35,47
May09,36,49
May10,37,58
May11,38,65
May12,39,75
May13,40,82
May14,41,88
May15,42,96
May16,43,107
May17,44,112
May18,45,118
May19,46,121
May20,47,124
May21,48,129
May22,49,138
May23,50,148
May24,51,156
May25,52,165
May26,53,172
May27,54,175
May28,55,185
May29,56,194
May30,57,205
May31,58,212
Jun01,59,220
Jun02,60,226
Jun03,61,230
Jun04,62,236
Jun05,63,244
Jun06,64,254
Jun07,65,264
Jun08,66,269
Jun09,67,273
Jun10,68,275
Jun11,69,279
Jun12,70,285
Jun13,71,289
Jun14,72,296
Jun15,73,298
Jun16,74,303
Jun17,75,306
Jun18,76,308
Jun19,77,313
Jun20,78,319
Jun21,79,326
Jun22,80,330
Jun23,81,334
Jun24,82,337
Jun25,83,339
Jun26,84,341
Jun27,85,344
Jun28,86,348
Jun29,87,350
Jun30,88,354
Jul01,89,358
Jul02,90,359
Jul03,91,360
Jul04,92,365
