day,dayNo,case
Mar18,1,3
Mar19,2,3
Mar20,3,6
Mar21,4,14
Mar22,5,14
Mar23,6,16
Mar24,7,42
Mar25,8,44
Mar26,9,44
Mar27,10,58
Mar28,11,58
Mar29,12,84
Mar30,13,94
Mar31,14,107
Apr01,15,111
Apr02,16,116
Apr03,17,130
Apr04,18,144
Apr05,19,147
Apr06,20,216
Apr07,21,228
Apr08,22,270
Apr09,23,280
Apr10,24,298
Apr11,25,339
Apr12,26,377
Apr13,27,419
Apr14,28,430
Apr15,29,449
Apr16,30,466
Apr17,31,489
Apr18,32,506
Apr19,33,554
Apr20,34,568
Apr21,35,590
Apr22,36,612
Apr23,37,631
Apr24,38,656
Apr25,39,665
Apr26,40,682
Apr27,41,695
Apr28,42,708
Apr29,43,729
Apr30,44,746
May01,45,756
May02,46,769
May03,47,795
May04,48,830
May05,49,843
May06,50,871
May07,51,895
May08,52,906
May09,53,931
May10,54,1002
May11,55,1016
May12,56,1037
May13,57,1044
May14,58,1082
May15,59,1111
May16,60,1117
May17,61,1138
May18,62,1216
May19,63,1243
May20,64,1270
May21,65,1313
May22,66,1350
May23,67,1365
May24,68,1403
May25,69,1433
May26,70,1468
May27,71,1520
May28,72,1594
May29,73,1662
May30,74,1722
May31,75,1748
Jun01,76,1817
Jun02,77,1845
Jun03,78,1871
Jun04,79,1899
Jun05,80,1936
Jun06,81,1974
Jun07,82,2007
Jun08,83,2032
Jun09,84,2055
Jun10,85,2093
Jun11,86,2129
Jun12,87,2166
Jun13,88,2207
Jun14,89,2285
Jun15,90,2372
Jun16,91,2472
Jun17,92,2562
Jun18,93,2657
Jun19,94,2789
Jun20,95,2981
Jun21,96,3151
Jun22,97,3356
Jun23,98,3519
Jun24,99,3726
Jun25,100,3954
Jun26,101,4204
Jun27,102,4513
Jun28,103,4748
Jun29,104,5017
Jun30,105,5296
Jul01,106,5735
Jul02,107,6261
Jul03,108,6767
Jul04,109,7094
