day,dayNo,case
Apr03,1,1
Apr04,2,1
Apr05,3,1
Apr06,4,4
Apr07,5,4
Apr08,6,4
Apr09,7,4
Apr10,8,5
Apr11,9,5
Apr12,10,5
Apr13,11,5
Apr14,12,5
Apr15,13,5
Apr16,14,5
Apr17,15,5
Apr18,16,5
Apr19,17,5
Apr20,18,7
Apr21,19,7
Apr22,20,7
Apr23,21,8
Apr24,22,8
Apr25,23,8
Apr26,24,8
Apr27,25,8
Apr28,26,8
Apr29,27,8
Apr30,28,8
May01,29,8
May02,30,8
May03,31,10
May04,32,10
May05,33,11
May06,34,12
May07,35,12
May08,36,12
May09,37,12
May10,38,12
May11,39,12
May12,40,12
May13,41,12
May14,42,12
May15,43,14
May16,44,14
May17,45,14
May18,46,14
May19,47,14
May20,48,14
May21,49,14
May22,50,14
May23,51,14
May24,52,14
May25,53,16
May26,54,16
May27,55,16
May28,56,16
May29,57,16
May30,58,16
May31,59,16
Jun01,60,16
Jun02,61,17
Jun03,62,20
Jun04,63,20
Jun05,64,22
Jun06,65,22
Jun07,66,22
Jun08,67,23
Jun09,68,24
Jun10,69,26
Jun11,70,26
Jun12,71,26
Jun13,72,27
Jun14,73,27
Jun15,74,27
Jun16,75,29
Jun17,76,30
Jun18,77,31
Jun19,78,32
Jun20,79,35
Jun21,80,37
Jun22,81,40
Jun23,82,41
Jun24,83,42
Jun25,84,43
Jun26,85,43
Jun27,86,46
Jun28,87,47
Jun29,88,50
Jun30,89,57
Jul01,90,62
Jul02,91,66
Jul03,92,76
Jul04,93,78
