day,dayNo,case
Mar02,1,1
Mar03,2,1
Mar04,3,1
Mar05,4,1
Mar06,5,1
Mar07,6,1
Mar08,7,3
Mar09,8,6
Mar10,9,8
Mar11,10,10
Mar12,11,16
Mar13,12,17
Mar14,13,26
Mar15,14,30
Mar16,15,34
Mar17,16,60
Mar18,17,71
Mar19,18,86
Mar20,19,111
Mar21,20,124
Mar22,21,139
Mar23,22,180
Mar24,23,197
Mar25,24,221
Mar26,25,244
Mar27,26,280
Mar28,27,305
Mar29,28,347
Mar30,29,376
Mar31,30,398
Apr01,31,446
Apr02,32,458
Apr03,33,493
Apr04,34,509
Apr05,35,533
Apr06,36,542
Apr07,37,548
Apr08,38,577
Apr09,39,589
Apr10,40,612
Apr11,41,630
Apr12,42,651
Apr13,43,655
Apr14,44,657
Apr15,45,666
Apr16,46,675
Apr17,47,682
Apr18,48,712
Apr19,49,727
Apr20,50,739
Apr21,51,748
Apr22,52,761
Apr23,53,778
Apr24,54,784
Apr25,55,804
Apr26,56,812
Apr27,57,818
Apr28,58,836
Apr29,59,849
Apr30,60,858
May01,61,870
May02,62,871
May03,63,879
May04,64,896
May05,65,896
May06,66,900
May07,67,909
May08,68,928
May09,69,930
May10,70,939
May11,71,946
May12,72,950
May13,73,951
May14,74,962
May15,75,970
May16,76,997
May17,77,1008
May18,78,1009
May19,79,1012
May20,80,1016
May21,81,1025
May22,82,1030
May23,83,1046
May24,84,1047
May25,85,1049
May26,86,1053
May27,87,1057
May28,88,1061
May29,89,1064
May30,90,1065
May31,91,1066
Jun01,92,1066
Jun02,93,1071
Jun03,94,1079
Jun04,95,1082
Jun05,96,1085
Jun06,97,1086
Jun07,98,1088
Jun08,99,1088
Jun09,100,1089
Jun10,101,1092
Jun11,102,1094
Jun12,103,1096
Jun13,104,1097
Jun14,105,1097
Jun15,106,1097
Jun16,107,1098
Jun17,108,1104
Jun18,109,1108
Jun19,110,1110
Jun20,111,1111
Jun21,112,1111
Jun22,113,1111
Jun23,114,1111
Jun24,115,1111
Jun25,116,1111
Jun26,117,1112
Jun27,118,1115
Jun28,119,1116
Jun29,120,1117
Jun30,121,1118
Jul01,122,1121
Jul02,123,1122
Jul03,124,1122
Jul04,125,1123
