day,dayNo,case
Apr03,1,1
Apr04,2,1
Apr05,3,1
Apr06,4,1
Apr07,5,2
Apr08,6,2
Apr09,7,3
Apr10,8,3
Apr11,9,3
Apr12,10,5
Apr13,11,5
Apr14,12,5
Apr15,13,5
Apr16,14,5
Apr17,15,5
Apr18,16,5
Apr19,17,5
Apr20,18,5
Apr21,19,9
Apr22,20,11
Apr23,21,11
Apr24,22,12
Apr25,23,12
Apr26,24,12
Apr27,25,13
Apr28,26,13
Apr29,27,15
Apr30,28,15
May01,29,16
May02,30,16
May03,31,16
May04,32,16
May05,33,17
May06,34,17
May07,35,18
May08,36,18
May09,37,18
May10,38,18
May11,39,18
May12,40,18
May13,41,19
May14,42,19
May15,43,19
May16,44,19
May17,45,19
May18,46,19
May19,47,21
May20,48,21
May21,49,22
May22,50,22
May23,51,22
May24,52,22
May25,53,22
May26,54,22
May27,55,23
May28,56,24
May29,57,24
May30,58,24
May31,59,24
Jun01,60,24
Jun02,61,24
Jun03,62,24
Jun04,63,25
Jun05,64,25
Jun06,65,25
Jun07,66,25
Jun08,67,26
Jun09,68,26
Jun10,69,26
Jun11,70,26
Jun12,71,27
Jun13,72,28
Jun14,73,28
Jun15,74,28
Jun16,75,28
Jun17,76,30
Jun18,77,30
Jun19,78,30
Jun20,79,30
Jun21,80,30
Jun22,81,30
Jun23,82,30
Jun24,83,30
Jun25,84,30
Jun26,85,30
Jun27,86,30
Jun28,87,30
Jun29,88,30
Jun30,89,30
Jul01,90,30
Jul02,91,30
Jul03,92,30
Jul04,93,30
