day,dayNo,case
Feb21,1,1
Feb22,2,1
Feb23,3,1
Feb24,4,1
Feb25,5,1
Feb26,6,2
Feb27,7,3
Feb28,8,4
Feb29,9,7
Mar01,10,10
Mar02,11,13
Mar03,12,13
Mar04,13,15
Mar05,14,16
Mar06,15,22
Mar07,16,28
Mar08,17,32
Mar09,18,41
Mar10,19,52
Mar11,20,68
Mar12,21,68
Mar13,22,77
Mar14,23,93
Mar15,24,110
Mar16,25,109
Mar17,26,124
Mar18,27,133
Mar19,28,157
Mar20,29,177
Mar21,30,230
Mar22,31,248
Mar23,32,267
Mar24,33,318
Mar25,34,333
Mar26,35,368
Mar27,36,391
Mar28,37,412
Mar29,38,438
Mar30,39,446
Mar31,40,463
Apr01,41,479
Apr02,42,494
Apr03,43,508
Apr04,44,520
Apr05,45,527
Apr06,46,541
Apr07,47,548
Apr08,48,576
Apr09,49,582
Apr10,50,609
Apr11,51,619
Apr12,52,630
Apr13,53,632
Apr14,54,641
Apr15,55,658
Apr16,56,663
Apr17,57,668
Apr18,58,672
Apr19,59,673
Apr20,60,677
Apr21,61,677
Apr22,62,682
Apr23,63,688
Apr24,64,696
Apr25,65,704
Apr26,66,707
Apr27,67,710
Apr28,68,717
Apr29,69,721
Apr30,70,725
May01,71,729
May02,72,733
May03,73,737
May04,74,740
May05,75,741
May06,76,750
May07,77,784
May08,78,796
May09,79,809
May10,80,845
May11,81,859
May12,82,870
May13,83,878
May14,84,886
May15,85,891
May16,86,902
May17,87,911
May18,88,931
May19,89,954
May20,90,961
May21,91,1024
May22,92,1086
May23,93,1097
May24,94,1114
May25,95,1119
May26,96,1140
May27,97,1161
May28,98,1168
May29,99,1172
May30,100,1191
May31,101,1220
Jun01,102,1233
Jun02,103,1242
Jun03,104,1256
Jun04,105,1306
Jun05,106,1312
Jun06,107,1320
Jun07,108,1331
Jun08,109,1350
Jun09,110,1368
Jun10,111,1388
Jun11,112,1402
Jun12,113,1422
Jun13,114,1442
Jun14,115,1446
Jun15,116,1464
Jun16,117,1473
Jun17,118,1489
Jun18,119,1495
Jun19,120,1510
Jun20,121,1536
Jun21,122,1587
Jun22,123,1603
Jun23,124,1622
Jun24,125,1644
Jun25,126,1662
Jun26,127,1697
Jun27,128,1719
Jun28,129,1740
Jun29,130,1745
Jun30,131,1778
Jul01,132,1788
Jul02,133,1796
Jul03,134,1830
Jul04,135,1855
