day,dayNo,case
Mar10,1,1
Mar11,2,2
Mar12,3,3
Mar13,4,3
Mar14,5,3
Mar15,6,3
Mar16,7,3
Mar17,8,4
Mar18,9,4
Mar19,10,4
Mar20,11,4
Mar21,12,4
Mar22,13,4
Mar23,14,4
Mar24,15,4
Mar25,16,6
Mar26,17,6
Mar27,18,8
Mar28,19,8
Mar29,20,10
Mar30,21,11
Mar31,22,12
Apr01,23,14
Apr02,24,16
Apr03,25,17
Apr04,26,17
Apr05,27,18
Apr06,28,19
Apr07,29,19
Apr08,30,19
Apr09,31,19
Apr10,32,20
Apr11,33,20
Apr12,34,20
Apr13,35,20
Apr14,36,21
Apr15,37,21
Apr16,38,21
Apr17,39,21
Apr18,40,21
Apr19,41,21
Apr20,42,21
Apr21,43,21
Apr22,44,22
Apr23,45,22
Apr24,46,22
Apr25,47,24
Apr26,48,24
Apr27,49,24
Apr28,50,24
Apr29,51,24
Apr30,52,24
May01,53,24
