day,dayNo,case
Feb28,1,1
Feb29,2,1
Mar01,3,1
Mar02,4,1
Mar03,5,1
Mar04,6,1
Mar05,7,1
Mar06,8,1
Mar07,9,1
Mar08,10,1
Mar09,11,1
Mar10,12,3
Mar11,13,3
Mar12,14,3
Mar13,15,6
Mar14,16,9
Mar15,17,14
Mar16,18,18
Mar17,19,26
Mar18,20,34
Mar19,21,48
Mar20,22,69
Mar21,23,99
Mar22,24,143
Mar23,25,179
Mar24,26,209
Mar25,27,274
Mar26,28,299
Mar27,29,358
Mar28,30,394
Mar29,31,460
Mar30,32,491
Mar31,33,537
Apr01,34,581
Apr02,35,649
Apr03,36,696
Apr04,37,771
Apr05,38,811
Apr06,39,843
Apr07,40,880
Apr08,41,912
Apr09,42,955
Apr10,43,999
Apr11,44,1026
Apr12,45,1053
Apr13,46,1062
Apr14,47,1070
Apr15,48,1091
Apr16,49,1128
Apr17,50,1149
Apr18,51,1239
Apr19,52,1298
Apr20,53,1326
Apr21,54,1350
Apr22,55,1370
Apr23,56,1398
Apr24,57,1410
Apr25,58,1426
Apr26,59,1438
Apr27,60,1449
Apr28,61,1344
Apr29,62,1375
Apr30,63,1385
May01,64,1399
