day,dayNo,case
Mar20,1,1
Mar21,2,1
Mar22,3,1
Mar23,4,1
Mar24,5,2
Mar25,6,4
Mar26,7,4
Mar27,8,5
Mar28,9,7
Mar29,10,7
Mar30,11,7
Mar31,12,8
Apr01,13,8
Apr02,14,9
Apr03,15,9
Apr04,16,11
Apr05,17,13
Apr06,18,15
Apr07,19,15
Apr08,20,15
Apr09,21,16
Apr10,22,22
Apr11,23,23
Apr12,24,23
Apr13,25,24
Apr14,26,29
Apr15,27,30
Apr16,28,32
Apr17,29,33
Apr18,30,33
Apr19,31,35
Apr20,32,37
Apr21,33,38
Apr22,34,38
Apr23,35,40
Apr24,36,40
Apr25,37,41
Apr26,38,41
Apr27,39,41
Apr28,40,44
Apr29,41,45
Apr30,42,45
May01,43,45
