day,dayNo,case
Feb29,1,1
Mar01,2,1
Mar02,3,1
Mar03,4,1
Mar04,5,1
Mar05,6,2
Mar06,7,3
Mar07,8,4
Mar08,9,5
Mar09,10,5
Mar10,11,7
Mar11,12,7
Mar12,13,26
Mar13,14,38
Mar14,15,51
Mar15,16,77
Mar16,17,81
Mar17,18,140
Mar18,19,203
Mar19,20,335
Mar20,21,484
Mar21,22,670
Mar22,23,798
Mar23,24,875
Mar24,25,1099
Mar25,26,1333
Mar26,27,1453
Mar27,28,1605
Mar28,29,1831
Mar29,30,1950
Mar30,31,1988
Mar31,32,2178
Apr01,33,2319
Apr02,34,2487
Apr03,35,2612
Apr04,36,2729
Apr05,37,2804
Apr06,38,2843
Apr07,39,2970
Apr08,40,3034
Apr09,41,3115
Apr10,42,3223
Apr11,43,3270
Apr12,44,3281
Apr13,45,3292
Apr14,46,3307
Apr15,47,3373
Apr16,48,3444
Apr17,49,3480
Apr18,50,3537
Apr19,51,3550
Apr20,52,3558
Apr21,53,3618
Apr22,54,3654
Apr23,55,3665
Apr24,56,3695
Apr25,57,3711
Apr26,58,3723
Apr27,59,3729
Apr28,60,3741
Apr29,61,3769
Apr30,62,3784
May01,63,3802
May02,64,3812
May03,65,3824
May04,66,3828
May05,67,3840
May06,68,3851
May07,69,3859
May08,70,3871
May09,71,3877
May10,72,3886
May11,73,3888
May12,74,3894
May13,75,3904
May14,76,3915
May15,77,3923
May16,78,3930
May17,79,3945
May18,80,3947
May19,81,3958
May20,82,3971
May21,83,3980
May22,84,3981
May23,85,3990
May24,86,3992
May25,87,3993
May26,88,3995
May27,89,4001
May28,90,4008
May29,91,4012
May30,92,4016
May31,93,4018
Jun01,94,4019
Jun02,95,4020
Jun03,96,4024
Jun04,97,4027
Jun05,98,4032
Jun06,99,4035
Jun07,100,4039
Jun08,101,4040
Jun09,102,4046
Jun10,103,4049
Jun11,104,4052
Jun12,105,4055
Jun13,106,4063
Jun14,107,4070
Jun15,108,4072
Jun16,109,4075
Jun17,110,4085
Jun18,111,4091
Jun19,112,4099
Jun20,113,4105
Jun21,114,4120
Jun22,115,4121
Jun23,116,4133
Jun24,117,4140
Jun25,118,4151
Jun26,119,4173
Jun27,120,4217
Jun28,121,4242
Jun29,122,4256
Jun30,123,4299
Jul01,124,4345
Jul02,125,4395
Jul03,126,4447
Jul04,127,4476
