day,dayNo,case
Mar13,1,1
Mar14,2,1
Mar15,3,1
Mar16,4,1
Mar17,5,1
Mar18,6,2
Mar19,7,4
Mar20,8,5
Mar21,9,8
Mar22,10,8
Mar23,11,8
Mar24,12,8
Mar25,13,8
Mar26,14,9
Mar27,15,15
Mar28,16,18
Mar29,17,21
Mar30,18,22
Mar31,19,23
Apr01,20,29
Apr02,21,30
Apr03,22,31
Apr04,23,31
Apr05,24,36
Apr06,25,41
Apr07,26,44
Apr08,27,46
Apr09,28,52
Apr10,29,54
Apr11,30,62
Apr12,31,66
Apr13,32,69
Apr14,33,67
Apr15,34,69
Apr16,35,69
Apr17,36,72
Apr18,37,72
Apr19,38,73
Apr20,39,75
Apr21,40,78
Apr22,41,80
Apr23,42,83
Apr24,43,85
Apr25,44,85
Apr26,45,88
Apr27,46,88
Apr28,47,89
Apr29,48,89
Apr30,49,90
May01,50,92
May02,51,92
May03,52,96
May04,53,96
May05,54,96
May06,55,98
May07,56,100
May08,57,100
May09,58,101
May10,59,101
May11,60,101
May12,61,102
May13,62,103
May14,63,103
May15,64,104
May16,65,104
May17,66,107
May18,67,107
May19,68,109
May20,69,109
May21,70,109
May22,71,109
May23,72,109
May24,73,110
May25,74,110
May26,75,110
May27,76,110
May28,77,110
May29,78,110
May30,79,110
May31,80,110
Jun01,81,110
Jun02,82,110
Jun03,83,110
Jun04,84,110
Jun05,85,110
Jun06,86,110
Jun07,87,110
Jun08,88,110
Jun09,89,110
Jun10,90,110
Jun11,91,110
Jun12,92,110
Jun13,93,110
Jun14,94,110
Jun15,95,110
Jun16,96,110
Jun17,97,110
Jun18,98,110
Jun19,99,110
Jun20,100,110
Jun21,101,110
Jun22,102,110
Jun23,103,110
Jun24,104,110
Jun25,105,110
Jun26,106,110
Jun27,107,110
Jun28,108,110
Jun29,109,110
Jun30,110,110
Jul01,111,110
Jul02,112,110
Jul03,113,110
Jul04,114,110
