day,dayNo,case
Mar20,1,3
Mar21,2,3
Mar22,3,3
Mar23,4,12
Mar24,5,17
Mar25,6,19
Mar26,7,23
Mar27,8,26
Mar28,9,26
Mar29,10,39
Mar30,11,43
Mar31,12,57
Apr01,13,57
Apr02,14,59
Apr03,15,70
Apr04,16,70
Apr05,17,72
Apr06,18,82
Apr07,19,88
Apr08,20,93
Apr09,21,93
Apr10,22,93
Apr11,23,102
Apr12,24,106
Apr13,25,106
Apr14,26,108
Apr15,27,110
Apr16,28,111
Apr17,29,117
Apr18,30,120
Apr19,31,121
Apr20,32,121
Apr21,33,121
Apr22,34,121
Apr23,35,121
Apr24,36,122
Apr25,37,123
Apr26,38,124
Apr27,39,128
Apr28,40,128
Apr29,41,128
Apr30,42,128
May01,43,132
May02,44,135
May03,45,149
May04,46,149
May05,47,151
May06,48,158
May07,49,186
May08,50,186
May09,51,186
May10,52,186
May11,53,186
May12,54,186
May13,55,212
May14,56,230
May15,57,238
May16,58,283
May17,59,304
May18,60,322
May19,61,326
May20,62,371
May21,63,405
May22,64,448
May23,65,488
May24,66,527
May25,67,542
May26,68,586
May27,69,612
May28,70,656
May29,71,698
May30,72,758
May31,73,771
Jun01,74,826
Jun02,75,845
Jun03,76,908
Jun04,77,957
Jun05,78,975
Jun06,79,1026
Jun07,80,1052
Jun08,81,1094
Jun09,82,1138
Jun10,83,1162
Jun11,84,1203
Jun12,85,1230
Jun13,86,1252
Jun14,87,1272
Jun15,88,1290
Jun16,89,1317
Jun17,90,1378
Jun18,91,1403
Jun19,92,1443
Jun20,93,1503
Jun21,94,1596
Jun22,95,1640
Jun23,96,1724
Jun24,97,1787
Jun25,98,1829
Jun26,99,1922
Jun27,100,2005
Jun28,101,2078
Jun29,102,2138
Jun30,103,2214
Jul01,104,2303
Jul02,105,2403
Jul03,106,2512
Jul04,107,2728
