day,dayNo,case
May17,1,1
May18,2,1
May19,3,2
May20,4,2
May21,5,2
May22,6,2
May23,7,2
May24,8,2
May25,9,2
May26,10,2
May27,11,2
May28,12,2
May29,13,5
May30,14,6
May31,15,6
Jun01,16,6
Jun02,17,6
Jun03,18,6
Jun04,19,7
Jun05,20,7
Jun06,21,8
Jun07,22,9
Jun08,23,9
Jun09,24,9
Jun10,25,10
Jun11,26,10
Jun12,27,10
Jun13,28,10
Jun14,29,10
Jun15,30,10
Jun16,31,12
Jun17,32,12
Jun18,33,13
Jun19,34,13
Jun20,35,13
Jun21,36,14
Jun22,37,15
Jun23,38,15
Jun24,39,16
Jun25,40,16
Jun26,41,16
Jun27,42,16
Jun28,43,18
Jun29,44,20
Jun30,45,20
Jul01,46,22
Jul02,47,24
Jul03,48,26
Jul04,49,29
