day,dayNo,case
Apr02,1,3
Apr03,2,3
Apr04,3,4
Apr05,4,4
Apr06,5,5
Apr07,6,8
Apr08,7,8
Apr09,8,8
Apr10,9,9
Apr11,10,12
Apr12,11,13
Apr13,12,16
Apr14,13,16
Apr15,14,16
Apr16,15,16
Apr17,16,17
Apr18,17,17
Apr19,18,17
Apr20,19,17
Apr21,20,18
Apr22,21,23
Apr23,22,33
Apr24,23,33
Apr25,24,33
Apr26,25,34
Apr27,26,36
Apr28,27,36
Apr29,28,36
Apr30,29,37
May01,30,37
May02,31,38
May03,32,39
May04,33,41
May05,34,41
May06,35,43
May07,36,43
May08,37,43
May09,38,56
May10,39,56
May11,40,57
May12,41,57
May13,42,63
May14,43,63
May15,44,63
May16,45,65
May17,46,70
May18,47,70
May19,48,70
May20,49,71
May21,50,72
May22,51,82
May23,52,82
May24,53,83
May25,54,101
May26,55,101
May27,56,101
May28,57,203
May29,58,273
May30,59,279
May31,60,284
Jun01,61,336
Jun02,62,358
Jun03,63,369
Jun04,64,393
Jun05,65,409
Jun06,66,409
Jun07,67,438
Jun08,68,443
Jun09,69,455
Jun10,70,455
Jun11,71,481
Jun12,72,481
Jun13,73,529
Jun14,74,547
Jun15,75,555
Jun16,76,564
Jun17,77,572
Jun18,78,592
Jun19,79,620
Jun20,80,620
Jun21,81,730
Jun22,82,749
Jun23,83,803
Jun24,84,941
Jun25,85,960
Jun26,86,1005
Jun27,87,1038
Jun28,88,1146
Jun29,89,1152
Jun30,90,1224
Jul01,91,1265
Jul02,92,1342
Jul03,93,1498
Jul04,94,1613
