day,dayNo,case
Apr07,1,1
Apr08,2,1
Apr09,3,1
Apr10,4,1
Apr11,5,2
Apr12,6,2
Apr13,7,2
Apr14,8,2
Apr15,9,2
Apr16,10,2
Apr17,11,2
Apr18,12,2
Apr19,13,2
Apr20,14,2
Apr21,15,2
Apr22,16,3
Apr23,17,3
Apr24,18,3
Apr25,19,3
Apr26,20,3
Apr27,21,3
Apr28,22,3
Apr29,23,3
Apr30,24,3
May01,25,3
May02,26,3
May03,27,3
May04,28,3
May05,29,3
May06,30,3
May07,31,3
May08,32,3
May09,33,3
May10,34,3
May11,35,3
May12,36,3
May13,37,3
May14,38,3
May15,39,3
May16,40,3
May17,41,3
May18,42,3
May19,43,3
May20,44,3
May21,45,3
May22,46,3
May23,47,3
May24,48,4
May25,49,4
May26,50,4
May27,51,4
May28,52,4
May29,53,4
May30,54,4
May31,55,4
Jun01,56,4
Jun02,57,4
Jun03,58,4
Jun04,59,4
Jun05,60,4
Jun06,61,4
Jun07,62,4
Jun08,63,4
Jun09,64,4
Jun10,65,4
Jun11,66,4
Jun12,67,4
Jun13,68,5
Jun14,69,6
Jun15,70,6
Jun16,71,6
Jun17,72,6
Jun18,73,8
Jun19,74,8
Jun20,75,8
Jun21,76,11
Jun22,77,11
Jun23,78,11
Jun24,79,11
Jun25,80,12
Jun26,81,13
Jun27,82,13
Jun28,83,13
Jun29,84,13
Jun30,85,14
Jul01,86,16
Jul02,87,16
Jul03,88,16
Jul04,89,17
