day,dayNo,case
Mar17,1,2
Mar18,2,2
Mar19,3,2
Mar20,4,3
Mar21,5,8
Mar22,6,10
Mar23,7,14
Mar24,8,16
Mar25,9,20
Mar26,10,23
Mar27,11,26
Mar28,12,27
Mar29,13,35
Mar30,14,37
Mar31,15,43
Apr01,16,45
Apr02,17,50
Apr03,18,53
Apr04,19,57
Apr05,20,61
Apr06,21,62
Apr07,22,63
Apr08,23,65
Apr09,24,67
Apr10,25,70
Apr11,26,73
Apr12,27,76
Apr13,28,77
Apr14,29,82
Apr15,30,83
Apr16,31,84
Apr17,32,86
Apr18,33,88
Apr19,34,89
Apr20,35,89
Apr21,36,92
Apr22,37,93
Apr23,38,95
Apr24,39,96
Apr25,40,98
Apr26,41,98
Apr27,42,99
Apr28,43,100
Apr29,44,100
Apr30,45,102
May01,46,103
May02,47,103
May03,48,105
May04,49,105
May05,50,106
May06,51,107
May07,52,107
May08,53,107
May09,54,108
May10,55,108
May11,56,109
May12,57,109
May13,58,111
May14,59,112
May15,60,112
May16,61,113
May17,62,113
May18,63,113
May19,64,114
May20,65,114
May21,66,114
May22,67,115
May23,68,115
May24,69,115
May25,70,115
May26,71,115
May27,72,115
May28,73,115
May29,74,115
May30,75,115
May31,76,115
Jun01,77,115
Jun02,78,115
Jun03,79,115
Jun04,80,115
Jun05,81,116
Jun06,82,117
Jun07,83,117
Jun08,84,117
Jun09,85,117
Jun10,86,118
Jun11,87,118
Jun12,88,119
Jun13,89,120
Jun14,90,121
Jun15,91,121
Jun16,92,121
Jun17,93,121
Jun18,94,121
Jun19,95,121
Jun20,96,121
Jun21,97,121
Jun22,98,121
Jun23,99,121
Jun24,100,121
Jun25,101,121
Jun26,102,121
Jun27,103,121
Jun28,104,121
Jun29,105,121
Jun30,106,121
Jul01,107,121
Jul02,108,121
Jul03,109,121
Jul04,110,121
