day,dayNo,case
Mar07,1,2
Mar08,2,4
Mar09,3,6
Mar10,4,6
Mar11,5,8
Mar12,6,8
Mar13,7,9
Mar14,8,10
Mar15,9,13
Mar16,10,13
Mar17,11,13
Mar18,12,13
Mar19,13,13
Mar20,14,13
Mar21,15,13
Mar22,16,13
Mar23,17,13
Mar24,18,13
Mar25,19,13
Mar26,20,13
Mar27,21,16
Mar28,22,16
Mar29,23,17
Mar30,24,17
Mar31,25,18
Apr01,26,19
Apr02,27,19
Apr03,28,19
Apr04,29,19
Apr05,30,19
Apr06,31,19
Apr07,32,19
Apr08,33,19
Apr09,34,19
Apr10,35,19
Apr11,36,19
Apr12,37,20
Apr13,38,20
Apr14,39,20
Apr15,40,22
Apr16,41,25
Apr17,42,29
Apr18,43,35
Apr19,44,52
Apr20,45,69
Apr21,46,86
Apr22,47,86
Apr23,48,108
Apr24,49,129
Apr25,50,177
Apr26,51,214
Apr27,52,226
Apr28,53,250
Apr29,54,278
Apr30,55,468
May01,56,491
May02,57,519
May03,58,527
May04,59,541
May05,60,573
May06,61,617
May07,62,648
May08,63,744
May09,64,790
May10,65,835
May11,66,897
May12,67,904
May13,68,955
May14,69,982
May15,70,1031
May16,71,1078
May17,72,1094
May18,73,1106
May19,74,1143
May20,75,1186
May21,76,1216
May22,77,1274
May23,78,1313
May24,79,1371
May25,80,1395
May26,81,1438
May27,82,1457
May28,83,1513
May29,84,1591
May30,85,1672
May31,86,1773
Jun01,87,1829
Jun02,88,1841
Jun03,89,1850
Jun04,90,1872
Jun05,91,1883
Jun06,92,1901
Jun07,93,1903
Jun08,94,1916
Jun09,95,1942
Jun10,96,1962
Jun11,97,1976
Jun12,98,2003
Jun13,99,2013
Jun14,100,2035
Jun15,101,2065
Jun16,102,2094
Jun17,103,2120
Jun18,104,2137
Jun19,105,2150
Jun20,106,2187
Jun21,107,2203
Jun22,108,2217
Jun23,109,2238
Jun24,110,2261
Jun25,111,2277
Jun26,112,2283
Jun27,113,2305
Jun28,114,2324
Jun29,115,2337
Jun30,116,2361
Jul01,117,2382
Jul02,118,2400
Jul03,119,2410
Jul04,120,2435
