day,dayNo,case
Apr29,1,1
Apr30,2,1
May01,3,1
May02,4,1
May03,5,1
May04,6,1
May05,7,1
May06,8,2
May07,9,3
May08,10,3
May09,11,3
May10,12,3
May11,13,3
May12,14,3
May13,15,4
May14,16,4
May15,17,4
May16,18,4
May17,19,4
May18,20,4
May19,21,4
May20,22,4
May21,23,4
May22,24,4
May23,25,4
May24,26,4
May25,27,4
May26,28,5
May27,29,5
May28,30,5
May29,31,5
May30,32,5
May31,33,5
Jun01,34,6
Jun02,35,7
Jun03,36,7
Jun04,37,7
Jun05,38,7
Jun06,39,8
Jun07,40,8
Jun08,41,8
Jun09,42,8
Jun10,43,8
Jun11,44,8
Jun12,45,8
Jun13,46,8
Jun14,47,8
Jun15,48,8
Jun16,49,8
Jun17,50,8
Jun18,51,8
Jun19,52,8
Jun20,53,8
Jun21,54,8
Jun22,55,8
Jun23,56,8
Jun24,57,8
Jun25,58,8
Jun26,59,8
Jun27,60,8
Jun28,61,8
Jun29,62,8
Jun30,63,9
Jul01,64,9
Jul02,65,10
Jul03,66,10
Jul04,67,10
