day,dayNo,case
Mar25,1,2
Mar26,2,4
Mar27,3,11
Mar28,4,18
Mar29,5,18
Mar30,6,25
Mar31,7,28
Apr01,8,31
Apr02,9,36
Apr03,10,39
Apr04,11,41
Apr05,12,45
Apr06,13,47
Apr07,14,56
Apr08,15,59
Apr09,16,74
Apr10,17,87
Apr11,18,87
Apr12,19,105
Apr13,20,123
Apr14,21,144
Apr15,22,148
Apr16,23,171
Apr17,24,171
Apr18,25,216
Apr19,26,224
Apr20,27,246
Apr21,28,258
Apr22,29,293
Apr23,30,309
Apr24,31,325
Apr25,32,370
Apr26,33,389
Apr27,34,408
Apr28,35,424
Apr29,36,482
Apr30,37,490
May01,38,508
May02,39,544
May03,40,563
May04,41,580
May05,42,612
May06,43,631
May07,44,650
May08,45,668
May09,46,692
May10,47,704
May11,48,712
May12,49,730
May13,50,758
May14,51,779
May15,52,806
May16,53,835
May17,54,860
May18,55,874
May19,56,901
May20,57,931
May21,58,947
May22,59,969
May23,60,1015
May24,61,1030
May25,62,1059
May26,63,1077
May27,64,1116
May28,65,1194
May29,66,1226
May30,67,1250
May31,68,1265
Jun01,69,1315
Jun02,70,1351
Jun03,71,1386
Jun04,72,1461
Jun05,73,1485
Jun06,74,1523
Jun07,75,1533
Jun08,76,1547
Jun09,77,1586
Jun10,78,1667
Jun11,79,1722
Jun12,80,1752
Jun13,81,1776
Jun14,82,1809
Jun15,83,1860
Jun16,84,1885
Jun17,85,1890
Jun18,86,1906
Jun19,87,1923
Jun20,88,1923
Jun21,89,1933
Jun22,90,1961
Jun23,91,1978
Jun24,92,2005
Jun25,93,2039
Jun26,94,2060
Jun27,95,2118
Jun28,96,2147
Jun29,97,2173
Jun30,98,2181
Jul01,99,2202
Jul02,100,2260
Jul03,101,2285
Jul04,102,2303
