day,dayNo,case
Mar28,1,1
Mar29,2,1
Mar30,3,2
Mar31,4,2
Apr01,5,3
Apr02,6,3
Apr03,7,3
Apr04,8,3
Apr05,9,5
Apr06,10,5
Apr07,11,5
Apr08,12,7
Apr09,13,7
Apr10,14,7
Apr11,15,7
Apr12,16,9
Apr13,17,10
Apr14,18,13
Apr15,19,13
Apr16,20,13
Apr17,21,13
Apr18,22,13
Apr19,23,14
Apr20,24,14
Apr21,25,14
Apr22,26,17
Apr23,27,21
Apr24,28,21
Apr25,29,21
Apr26,30,23
Apr27,31,23
Apr28,32,24
Apr29,33,25
Apr30,34,26
May01,35,26
May02,36,26
May03,37,27
May04,38,29
May05,39,32
May06,40,32
May07,41,32
May08,42,35
May09,43,37
May10,44,38
May11,45,39
May12,46,40
May13,47,44
May14,48,46
May15,49,46
May16,50,48
May17,51,52
May18,52,52
May19,53,53
May20,54,55
May21,55,60
May22,56,62
May23,57,63
May24,58,65
May25,59,67
May26,60,70
May27,61,70
May28,62,72
May29,63,73
May30,64,76
May31,65,77
Jun01,66,78
Jun02,67,78
Jun03,68,79
Jun04,69,85
Jun05,70,87
Jun06,71,90
Jun07,72,92
Jun08,73,92
Jun09,74,94
Jun10,75,96
Jun11,76,97
Jun12,77,101
Jun13,78,104
Jun14,79,104
Jun15,80,104
Jun16,81,104
Jun17,82,107
Jun18,83,107
Jun19,84,108
Jun20,85,108
Jun21,86,109
Jun22,87,111
Jun23,88,111
Jun24,89,112
Jun25,90,113
Jun26,91,113
Jun27,92,113
Jun28,93,114
Jun29,94,115
Jun30,95,116
Jul01,96,116
Jul02,97,117
Jul03,98,117
Jul04,99,118
