day,dayNo,case
Mar13,1,1
Mar14,2,1
Mar15,3,1
Mar16,4,1
Mar17,5,1
Mar18,6,2
Mar19,7,2
Mar20,8,2
Mar21,9,2
Mar22,10,2
Mar23,11,2
Mar24,12,2
Mar25,13,2
Mar26,14,3
Mar27,15,3
Mar28,16,5
Mar29,17,5
Mar30,18,6
Mar31,19,6
Apr01,20,6
Apr02,21,6
Apr03,22,6
Apr04,23,6
Apr05,24,6
Apr06,25,6
Apr07,26,6
Apr08,27,6
Apr09,28,7
Apr10,29,7
Apr11,30,7
Apr12,31,7
Apr13,32,7
Apr14,33,7
Apr15,34,7
Apr16,35,7
Apr17,36,7
Apr18,37,7
Apr19,38,7
Apr20,39,7
Apr21,40,7
Apr22,41,7
Apr23,42,7
Apr24,43,7
Apr25,44,7
Apr26,45,7
Apr27,46,7
Apr28,47,7
Apr29,48,8
Apr30,49,8
May01,50,8
May02,51,8
May03,52,8
May04,53,8
May05,54,8
May06,55,8
May07,56,8
May08,57,8
May09,58,8
May10,59,8
May11,60,8
May12,61,9
May13,62,15
May14,63,20
May15,64,29
May16,65,40
May17,66,62
May18,67,81
May19,68,131
May20,69,141
May21,70,173
May22,71,200
May23,72,227
May24,73,237
May25,74,262
May26,75,268
May27,76,292
May28,77,346
May29,78,423
May30,79,483
May31,80,530
Jun01,81,588
Jun02,82,668
Jun03,83,745
Jun04,84,784
Jun05,85,883
Jun06,86,947
Jun07,87,1049
Jun08,88,1104
Jun09,89,1162
Jun10,90,1283
Jun11,91,1439
Jun12,92,1572
Jun13,93,1682
Jun14,94,1783
Jun15,95,1887
Jun16,96,2057
Jun17,97,2223
Jun18,98,2424
Jun19,99,2621
Jun20,100,2813
Jun21,101,2984
Jun22,102,3121
Jun23,103,3292
Jun24,104,3519
Jun25,105,3739
Jun26,106,3907
Jun27,107,4025
Jun28,108,4149
Jun29,109,4237
Jun30,110,4363
Jul01,111,4472
Jul02,112,4606
Jul03,113,4705
Jul04,114,4827
