day,dayNo,case
Mar30,1,1
Mar31,2,1
Apr01,3,1
Apr02,4,1
Apr03,5,1
Apr04,6,1
Apr05,7,1
Apr06,8,1
Apr07,9,1
Apr08,10,1
Apr09,11,1
Apr10,12,1
Apr11,13,1
Apr12,14,1
Apr13,15,1
Apr14,16,1
Apr15,17,1
Apr16,18,1
Apr17,19,1
Apr18,20,1
Apr19,21,1
Apr20,22,1
Apr21,23,1
Apr22,24,1
Apr23,25,1
Apr24,26,1
Apr25,27,1
Apr26,28,1
Apr27,29,1
Apr28,30,1
Apr29,31,1
Apr30,32,1
May01,33,1
May02,34,1
May03,35,1
May04,36,1
May05,37,1
May06,38,1
May07,39,1
May08,40,1
May09,41,1
May10,42,1
May11,43,1
May12,44,1
May13,45,2
May14,46,2
May15,47,3
May16,48,4
May17,49,4
May18,50,4
May19,51,4
May20,52,4
May21,53,5
May22,54,6
May23,55,6
May24,56,6
May25,57,9
May26,58,13
May27,59,16
May28,60,19
May29,61,20
May30,62,20
May31,63,23
Jun01,64,23
Jun02,65,31
Jun03,66,34
Jun04,67,39
Jun05,68,43
Jun06,69,49
Jun07,70,55
Jun08,71,59
Jun09,72,61
Jun10,73,71
Jun11,74,74
Jun12,75,81
Jun13,76,83
Jun14,77,87
Jun15,78,91
Jun16,79,93
Jun17,80,95
Jun18,81,97
Jun19,82,102
Jun20,83,108
Jun21,84,111
Jun22,85,112
Jun23,86,114
Jun24,87,116
Jun25,88,119
Jun26,89,120
Jun27,90,121
Jun28,91,126
Jun29,92,128
Jun30,93,129
Jul01,94,129
Jul02,95,129
Jul03,96,129
Jul04,97,129
