day,dayNo,case
Mar14,1,1
Mar15,2,1
Mar16,3,2
Mar17,4,3
Mar18,5,3
Mar19,6,4
Mar20,7,7
Mar21,8,11
Mar22,9,11
Mar23,10,24
Mar24,11,36
Mar25,12,36
Mar26,13,36
Mar27,14,50
Mar28,15,63
Mar29,16,63
Mar30,17,82
Mar31,18,94
Apr01,19,101
Apr02,20,116
Apr03,21,128
Apr04,22,134
Apr05,23,147
Apr06,24,164
Apr07,25,171
Apr08,26,184
Apr09,27,184
Apr10,28,191
Apr11,29,196
Apr12,30,196
Apr13,31,207
Apr14,32,217
Apr15,33,217
Apr16,34,233
Apr17,35,245
Apr18,36,254
Apr19,37,271
Apr20,38,271
Apr21,39,311
Apr22,40,326
Apr23,41,326
Apr24,42,354
Apr25,43,380
Apr26,44,401
Apr27,45,401
Apr28,46,460
Apr29,47,460
Apr30,48,539
May01,49,539
May02,50,596
May03,51,650
May04,52,686
May05,53,739
May06,54,739
May07,55,854
May08,56,854
May09,57,988
May10,58,1023
May11,59,1023
May12,60,1095
May13,61,1143
May14,62,1210
May15,63,1210
May16,64,1312
May17,65,1342
May18,66,1370
May19,67,1370
May20,68,1475
May21,69,1475
May22,70,1521
May23,71,1521
May24,72,1587
May25,73,1609
May26,74,1634
May27,75,1645
May28,76,1670
May29,77,1699
May30,78,1699
May31,79,1699
Jun01,80,1934
Jun02,81,1986
Jun03,82,1993
Jun04,83,2058
Jun05,84,2079
Jun06,85,2079
Jun07,86,2079
Jun08,87,2151
Jun09,88,2175
Jun10,89,2226
Jun11,90,2240
Jun12,91,2268
Jun13,92,2282
Jun14,93,2298
Jun15,94,2310
Jun16,95,2333
Jun17,96,2345
Jun18,97,2383
Jun19,98,2394
Jun20,99,2404
Jun21,100,2404
Jun22,101,2434
Jun23,102,2434
Jun24,103,2467
Jun25,104,2508
Jun26,105,2508
Jun27,106,2508
Jun28,107,2508
Jun29,108,2560
Jun30,109,2603
Jul01,110,2643
Jul02,111,2650
Jul03,112,2661
Jul04,113,2661
