day,dayNo,case
Mar31,1,1
Apr01,2,1
Apr02,3,1
Apr03,4,2
Apr04,5,2
Apr05,6,2
Apr06,7,2
Apr07,8,2
Apr08,9,2
Apr09,10,2
Apr10,11,2
Apr11,12,3
Apr12,13,3
Apr13,14,3
Apr14,15,3
Apr15,16,3
Apr16,17,3
Apr17,18,4
Apr18,19,4
Apr19,20,4
Apr20,21,4
Apr21,22,4
Apr22,23,4
Apr23,24,4
Apr24,25,4
Apr25,26,4
Apr26,27,4
Apr27,28,4
Apr28,29,4
Apr29,30,4
Apr30,31,4
May01,32,4
May02,33,6
May03,34,6
May04,35,6
May05,36,9
May06,37,9
May07,38,10
May08,39,10
May09,40,11
May10,41,11
May11,42,11
May12,43,12
May13,44,14
May14,45,16
May15,46,16
May16,47,18
May17,48,18
May18,49,18
May19,50,18
May20,51,19
May21,52,19
May22,53,19
May23,54,19
May24,55,20
May25,56,20
May26,57,20
May27,58,20
May28,59,21
May29,60,21
May30,61,21
May31,62,21
Jun01,63,24
Jun02,64,24
Jun03,65,24
Jun04,66,25
Jun05,67,25
Jun06,68,25
Jun07,69,25
Jun08,70,25
Jun09,71,28
Jun10,72,28
Jun11,73,28
Jun12,74,28
Jun13,75,28
Jun14,76,29
Jun15,77,29
Jun16,78,29
Jun17,79,29
Jun18,80,29
Jun19,81,29
Jun20,82,31
Jun21,83,31
Jun22,84,31
Jun23,85,31
Jun24,86,32
Jun25,87,32
Jun26,88,32
Jun27,89,32
Jun28,90,32
Jun29,91,32
Jun30,92,35
Jul01,93,35
Jul02,94,35
Jul03,95,35
Jul04,96,35
