day,dayNo,case
Feb28,1,2
Feb29,2,4
Mar01,3,5
Mar02,4,6
Mar03,5,6
Mar04,6,6
Mar05,7,6
Mar06,8,6
Mar07,9,6
Mar08,10,7
Mar09,11,7
Mar10,12,7
Mar11,13,11
Mar12,14,12
Mar13,15,15
Mar14,16,26
Mar15,17,43
Mar16,18,53
Mar17,19,82
Mar18,20,93
Mar19,21,118
Mar20,22,164
Mar21,23,203
Mar22,24,251
Mar23,25,316
Mar24,26,367
Mar25,27,405
Mar26,28,475
Mar27,29,585
Mar28,30,717
Mar29,31,848
Mar30,32,993
Mar31,33,1094
Apr01,34,1215
Apr02,35,1378
Apr03,36,1510
Apr04,37,1688
Apr05,38,1890
Apr06,39,2143
Apr07,40,2439
Apr08,41,2785
Apr09,42,3181
Apr10,43,3441
Apr11,44,3844
Apr12,45,4219
Apr13,46,4661
Apr14,47,5014
Apr15,48,5399
Apr16,49,5847
Apr17,50,6297
Apr18,51,6875
Apr19,52,7497
Apr20,53,8261
Apr21,54,8772
Apr22,55,9501
Apr23,56,10544
Apr24,57,11633
Apr25,58,12872
Apr26,59,13842
Apr27,60,14677
Apr28,61,15529
Apr29,62,16752
Apr30,63,17799
May01,64,19224
May02,65,20739
May03,66,22088
May04,67,23471
May05,68,24905
May06,69,26025
May07,70,27634
May08,71,29616
May09,72,31522
May10,73,33460
May11,74,35022
May12,75,36327
May13,76,38324
May14,77,40186
May15,78,42595
May16,79,45032
May17,80,47144
May18,81,49219
May19,82,51633
May20,83,54346
May21,84,56594
May22,85,59567
May23,86,62527
May24,87,65856
May25,88,68620
May26,89,71105
May27,90,74560
May28,91,78023
May29,92,81400
May30,93,84627
May31,94,87512
Jun01,95,90664
Jun02,96,93435
Jun03,97,97326
Jun04,98,101238
Jun05,99,105680
Jun06,100,110026
Jun07,101,113619
Jun08,102,117103
Jun09,103,120102
Jun10,104,124301
Jun11,105,129184
Jun12,106,133974
Jun13,107,139196
Jun14,108,142690
Jun15,109,146837
Jun16,110,150264
Jun17,111,154863
Jun18,112,159793
Jun19,113,165455
Jun20,114,170485
Jun21,115,175202
Jun22,116,180545
Jun23,117,185122
Jun24,118,191410
Jun25,119,196847
Jun26,120,202951
Jun27,121,208392
Jun28,122,212802
Jun29,123,216852
Jun30,124,220657
Jul01,125,226089
Jul02,126,231770
Jul03,127,238511
Jul04,128,245251
