day,dayNo,case
Mar19,1,1
Mar20,2,1
Mar21,3,2
Mar22,4,2
Mar23,5,3
Mar24,6,4
Mar25,7,5
Mar26,8,6
Mar27,9,8
Mar28,10,12
Mar29,11,16
Mar30,12,20
Mar31,13,28
Apr01,14,29
Apr02,15,37
Apr03,16,50
Apr04,17,60
Apr05,18,79
Apr06,19,94
Apr07,20,125
Apr08,21,141
Apr09,22,174
Apr10,23,194
Apr11,24,233
Apr12,25,273
Apr13,26,296
Apr14,27,332
Apr15,28,406
Apr16,29,449
Apr17,30,486
Apr18,31,546
Apr19,32,650
Apr20,33,686
Apr21,34,712
Apr22,35,857
Apr23,36,970
Apr24,37,1069
Apr25,38,1221
Apr26,39,1305
Apr27,40,1351
Apr28,41,1434
Apr29,42,1569
Apr30,43,1732
May01,44,1859
May02,45,1972
May03,46,2061
May04,47,2154
May05,48,2271
May06,49,2507
May07,50,2704
May08,51,2961
May09,52,3160
May10,53,3353
May11,54,3465
May12,55,3573
May13,56,3926
May14,57,4220
May15,58,4477
May16,59,4767
May17,60,5045
May18,61,5177
May19,62,5332
May20,63,5666
May21,64,6090
May22,65,6510
May23,66,6989
May24,67,7179
May25,68,7394
May26,69,7633
May27,70,8134
May28,71,8597
May29,72,9044
May30,73,9415
May31,74,9779
Jun01,75,9930
Jun02,76,10167
Jun03,77,10637
Jun04,78,11729
Jun05,79,12545
Jun06,80,13170
Jun07,81,13511
Jun08,82,13699
Jun09,83,14053
Jun10,84,14649
Jun11,85,15357
Jun12,86,15944
Jun13,87,16448
Jun14,88,16872
Jun15,89,17141
Jun16,90,17580
Jun17,91,18310
Jun18,92,19080
Jun19,93,19747
Jun20,94,20394
Jun21,95,20781
Jun22,96,21825
Jun23,97,22584
Jun24,98,23377
Jun25,99,24324
Jun26,100,25060
Jun27,101,25779
Jun28,102,26381
Jun29,103,26648
Jun30,104,27121
Jul01,105,27769
Jul02,106,28510
Jul03,107,29189
Jul04,108,29843
