day,dayNo,case
Mar07,1,1
Mar08,2,1
Mar09,3,1
Mar10,4,3
Mar11,5,3
Mar12,6,6
Mar13,7,6
Mar14,8,12
Mar15,9,23
Mar16,10,29
Mar17,11,30
Mar18,12,36
Mar19,13,49
Mar20,14,66
Mar21,15,80
Mar22,16,94
Mar23,17,109
Mar24,18,125
Mar25,19,149
Mar26,20,177
Mar27,21,199
Mar28,22,231
Mar29,23,263
Mar30,24,298
Mar31,25,353
Apr01,26,423
Apr02,27,505
Apr03,28,591
Apr04,29,752
Apr05,30,864
Apr06,31,965
Apr07,32,1056
Apr08,33,1174
Apr09,34,1289
Apr10,35,1438
Apr11,36,1560
Apr12,37,1662
Apr13,38,1712
Apr14,39,1934
Apr15,40,2049
Apr16,41,2154
Apr17,42,2264
Apr18,43,2351
Apr19,44,2472
Apr20,45,2548
Apr21,46,2614
Apr22,47,2778
Apr23,48,2926
Apr24,49,3110
Apr25,50,3304
Apr26,51,3408
Apr27,52,3481
Apr28,53,3638
Apr29,54,3771
Apr30,55,3897
May01,56,3980
