day,dayNo,case
Mar18,1,1
Mar19,2,1
Mar20,3,1
Mar21,4,1
Mar22,5,1
Mar23,6,1
Mar24,7,1
Mar25,8,1
Mar26,9,1
Mar27,10,2
Mar28,11,2
Mar29,12,2
Mar30,13,2
Mar31,14,4
Apr01,15,5
Apr02,16,6
Apr03,17,8
Apr04,18,12
Apr05,19,15
Apr06,20,19
Apr07,21,22
Apr08,22,27
Apr09,23,29
Apr10,24,29
Apr11,25,30
Apr12,26,31
Apr13,27,35
Apr14,28,41
Apr15,29,46
Apr16,30,54
Apr17,31,56
Apr18,32,57
Apr19,33,67
Apr20,34,70
Apr21,35,72
Apr22,36,75
Apr23,37,80
Apr24,38,84
Apr25,39,94
Apr26,40,96
Apr27,41,102
Apr28,42,103
Apr29,43,111
Apr30,44,116
May01,45,122
May02,46,124
May03,47,125
May04,48,132
May05,49,136
May06,50,143
May07,51,145
May08,52,150
May09,53,161
May10,54,169
May11,55,175
May12,56,182
May13,57,185
May14,58,194
May15,59,202
May16,60,207
May17,61,211
May18,62,217
May19,63,221
May20,64,228
May21,65,233
May22,66,237
May23,67,242
May24,68,250
May25,69,261
May26,70,267
May27,71,274
May28,72,282
May29,73,288
May30,74,291
May31,75,295
Jun01,76,305
Jun02,77,307
Jun03,78,310
Jun04,79,315
Jun05,80,323
Jun06,81,331
Jun07,82,341
Jun08,83,353
Jun09,84,365
Jun10,85,371
Jun11,86,375
Jun12,87,385
Jun13,88,398
Jun14,89,406
Jun15,90,411
Jun16,91,423
Jun17,92,433
Jun18,93,444
Jun19,94,450
Jun20,95,464
Jun21,96,473
Jun22,97,480
Jun23,98,490
Jun24,99,495
Jun25,100,502
Jun26,101,515
Jun27,102,521
Jun28,103,530
Jun29,104,536
Jun30,105,545
Jul01,106,549
Jul02,107,560
Jul03,108,572
Jul04,109,580
