day,dayNo,case
Mar02,1,1
Mar03,2,1
Mar04,3,1
Mar05,4,2
Mar06,5,2
Mar07,6,2
Mar08,7,2
Mar09,8,2
Mar10,9,3
Mar11,10,6
Mar12,11,6
Mar13,12,7
Mar14,13,18
Mar15,14,28
Mar16,15,37
Mar17,16,44
Mar18,17,54
Mar19,18,63
Mar20,19,86
Mar21,20,96
Mar22,21,115
Mar23,22,143
Mar24,23,170
Mar25,24,225
Mar26,25,275
Mar27,26,345
Mar28,27,402
Mar29,28,479
Mar30,29,556
Mar31,30,617
Apr01,31,654
Apr02,32,708
Apr03,33,791
Apr04,34,919
Apr05,35,1021
Apr06,36,1120
Apr07,37,1184
Apr08,38,1275
Apr09,39,1374
Apr10,40,1448
Apr11,41,1545
Apr12,42,1661
Apr13,43,1763
Apr14,44,1888
Apr15,45,2024
Apr16,46,2283
Apr17,47,2564
Apr18,48,2685
Apr19,49,2855
Apr20,50,3046
Apr21,51,3209
Apr22,52,3446
Apr23,53,3568
Apr24,54,3758
Apr25,55,3897
Apr26,56,4065
Apr27,57,4120
Apr28,58,4252
Apr29,59,4321
Apr30,60,4423
May01,61,4569
May02,62,4729
May03,63,4903
May04,64,5053
May05,65,5219
May06,66,5408
May07,67,5548
May08,68,5711
May09,69,5910
May10,70,6063
May11,71,6281
May12,72,6418
May13,73,6512
May14,74,6607
May15,75,6652
May16,76,6741
May17,77,6870
May18,78,6952
May19,79,7023
May20,80,7133
May21,81,7211
May22,82,7332
May23,83,7406
May24,84,7433
May25,85,7532
May26,86,7577
May27,87,7601
May28,88,7643
May29,89,7714
May30,90,7780
May31,91,7807
Jun01,92,7833
Jun02,93,7866
Jun03,94,7922
Jun04,95,8003
Jun05,96,8071
Jun06,97,8151
Jun07,98,8224
Jun08,99,8302
Jun09,100,8437
Jun10,101,8508
Jun11,102,8537
Jun12,103,8610
Jun13,104,8692
Jun14,105,8793
Jun15,106,8885
Jun16,107,8931
Jun17,108,8997
Jun18,109,9074
Jun19,110,9613
Jun20,111,9839
Jun21,112,9977
Jun22,113,10172
Jun23,114,10344
Jun24,115,10907
Jun25,116,11338
Jun26,117,11633
Jun27,118,11877
Jun28,119,12052
Jun29,120,12290
Jun30,121,12533
Jul01,122,12636
Jul02,123,12969
Jul03,124,13288
Jul04,125,13822
