day,dayNo,case
Mar10,1,1
Mar11,2,1
Mar12,3,1
Mar13,4,1
Mar14,5,1
Mar15,6,1
Mar16,7,1
Mar17,8,2
Mar18,9,2
Mar19,10,2
Mar20,11,3
Mar21,12,3
Mar22,13,4
Mar23,14,4
Mar24,15,5
Mar25,16,6
Mar26,17,11
Mar27,18,23
Mar28,19,25
Mar29,20,26
Mar30,21,33
Mar31,22,36
Apr01,23,39
Apr02,24,44
Apr03,25,48
Apr04,26,59
Apr05,27,70
Apr06,28,80
Apr07,29,90
Apr08,30,93
Apr09,31,97
Apr10,32,107
Apr11,33,111
Apr12,34,118
Apr13,35,126
Apr14,36,126
Apr15,37,127
Apr16,38,130
Apr17,39,135
Apr18,40,137
Apr19,41,141
Apr20,42,143
Apr21,43,145
Apr22,44,149
Apr23,45,155
Apr24,46,158
Apr25,47,159
Apr26,48,161
Apr27,49,162
Apr28,50,165
Apr29,51,168
Apr30,52,170
May01,53,171
May02,54,173
May03,55,174
May04,56,179
May05,57,181
May06,58,183
May07,59,183
May08,60,186
May09,61,186
May10,62,188
May11,63,188
May12,64,188
May13,65,188
May14,66,190
May15,67,190
May16,68,192
May17,69,192
May18,70,192
May19,71,193
May20,72,194
May21,73,196
May22,74,197
May23,75,198
May24,76,199
May25,77,200
May26,78,202
May27,79,202
May28,80,202
May29,81,202
May30,82,204
May31,83,205
Jun01,84,205
Jun02,85,206
Jun03,86,206
Jun04,87,208
Jun05,88,208
Jun06,89,208
Jun07,90,208
Jun08,91,208
Jun09,92,210
Jun10,93,211
Jun11,94,211
Jun12,95,212
Jun13,96,212
Jun14,97,212
Jun15,98,212
Jun16,99,212
Jun17,100,213
Jun18,101,213
Jun19,102,213
Jun20,103,213
Jun21,104,214
Jun22,105,214
Jun23,106,214
Jun24,107,216
Jun25,108,217
Jun26,109,218
Jun27,110,220
Jun28,111,221
Jun29,112,225
Jun30,113,228
Jul01,114,228
Jul02,115,229
Jul03,116,230
Jul04,117,232
