day,dayNo,case
Feb15,1,1
Feb16,2,1
Feb17,3,1
Feb18,4,1
Feb19,5,1
Feb20,6,1
Feb21,7,1
Feb22,8,1
Feb23,9,1
Feb24,10,1
Feb25,11,1
Feb26,12,1
Feb27,13,1
Feb28,14,1
Feb29,15,1
Mar01,16,1
Mar02,17,1
Mar03,18,1
Mar04,19,1
Mar05,20,1
Mar06,21,1
Mar07,22,1
Mar08,23,1
Mar09,24,1
Mar10,25,1
Mar11,26,1
Mar12,27,1
Mar13,28,1
Mar14,29,1
Mar15,30,1
Mar16,31,1
Mar17,32,1
Mar18,33,1
Mar19,34,1
Mar20,35,1
Mar21,36,1
Mar22,37,1
Mar23,38,2
Mar24,39,2
Mar25,40,3
Mar26,41,3
Mar27,42,4
Mar28,43,5
Mar29,44,5
Mar30,45,5
Mar31,46,5
Apr01,47,5
Apr02,48,6
Apr03,49,6
Apr04,50,9
Apr05,51,9
Apr06,52,9
Apr07,53,9
Apr08,54,9
Apr09,55,9
Apr10,56,9
Apr11,57,9
Apr12,58,12
Apr13,59,14
Apr14,60,16
Apr15,61,16
Apr16,62,16
Apr17,63,30
Apr18,64,31
Apr19,65,31
Apr20,66,31
Apr21,67,42
Apr22,68,45
Apr23,69,48
Apr24,70,49
Apr25,71,49
Apr26,72,52
Apr27,73,52
Apr28,74,54
Apr29,75,57
Apr30,76,57
May01,77,59
May02,78,59
May03,79,75
May04,80,75
May05,81,82
May06,82,99
May07,83,101
May08,84,102
May09,85,109
May10,86,110
May11,87,134
May12,88,217
May13,89,243
May14,90,249
May15,91,267
May16,92,281
May17,93,295
May18,94,375
May19,95,402
May20,96,427
May21,97,457
May22,98,516
May23,99,584
May24,100,603
May25,101,682
May26,102,772
May27,103,886
May28,104,1042
May29,105,1212
May30,106,1401
May31,107,1572
Jun01,108,1811
Jun02,109,2099
Jun03,110,2300
Jun04,111,2634
Jun05,112,2912
Jun06,113,3235
Jun07,114,3448
Jun08,115,3762
Jun09,116,4086
Jun10,117,4364
Jun11,118,4614
Jun12,119,5062
Jun13,120,5335
Jun14,121,5760
Jun15,122,6211
Jun16,123,6591
Jun17,124,7177
Jun18,125,7848
Jun19,126,8274
Jun20,127,8605
Jun21,128,9026
Jun22,129,9561
Jun23,130,10099
Jun24,131,10728
Jun25,132,11162
Jun26,133,11755
Jun27,134,12309
Jun28,135,12772
Jun29,136,13248
Jun30,137,13564
Jul01,138,14046
Jul02,139,14519
Jul03,140,15259
Jul04,141,15491
