day,dayNo,case
May16,1,1
May17,2,2
May18,3,2
May19,4,2
May20,5,2
May21,6,3
May22,7,3
May23,8,3
May24,9,3
May25,10,4
May26,11,4
May27,12,4
May28,13,5
May29,14,6
May30,15,6
May31,16,8
Jun01,17,8
Jun02,18,8
Jun03,19,9
Jun04,20,10
Jun05,21,11
Jun06,22,13
Jun07,23,13
Jun08,24,14
Jun09,25,15
Jun10,26,15
Jun11,27,15
Jun12,28,16
Jun13,29,18
Jun14,30,19
Jun15,31,19
Jun16,32,19
Jun17,33,20
Jun18,34,22
Jun19,35,22
Jun20,36,22
Jun21,37,23
Jun22,38,23
Jun23,39,24
Jun24,40,24
Jun25,41,26
Jun26,42,27
Jun27,43,28
Jun28,44,28
Jun29,45,29
Jun30,46,29
Jul01,47,30
Jul02,48,31
Jul03,49,32
Jul04,50,34
