day,dayNo,case
Mar06,1,1
Mar07,2,1
Mar08,3,3
Mar09,4,4
Mar10,5,4
Mar11,6,5
Mar12,7,5
Mar13,8,10
Mar14,9,12
Mar15,10,20
Mar16,11,24
Mar17,12,43
Mar18,13,58
Mar19,14,76
Mar20,15,106
Mar21,16,136
Mar22,17,179
Mar23,18,213
Mar24,19,276
Mar25,20,356
Mar26,21,434
Mar27,22,546
Mar28,23,639
Mar29,24,771
Mar30,25,864
Mar31,26,1039
Apr01,27,1173
Apr02,28,1339
Apr03,29,1487
Apr04,30,1651
Apr05,31,1766
Apr06,32,1867
Apr07,33,2101
Apr08,34,2248
Apr09,35,2396
Apr10,36,2511
Apr11,37,2643
Apr12,38,2737
Apr13,39,2823
Apr14,40,2945
Apr15,41,3134
Apr16,42,3315
Apr17,43,3459
Apr18,44,3601
Apr19,45,3684
Apr20,46,3751
Apr21,47,3916
Apr22,48,4054
