day,dayNo,case
Feb28,1,1
Feb29,2,1
Mar01,3,1
Mar02,4,1
Mar03,5,2
Mar04,6,3
Mar05,7,4
Mar06,8,4
Mar07,9,5
Mar08,10,5
Mar09,11,5
Mar10,12,5
Mar11,13,5
Mar12,14,5
Mar13,15,6
Mar14,16,8
Mar15,17,8
Mar16,18,8
Mar17,19,20
Mar18,20,20
Mar19,21,28
Mar20,22,52
Mar21,23,52
Mar22,24,102
Mar23,25,102
Mar24,26,205
Mar25,27,283
Mar26,28,368
Mar27,29,368
Mar28,30,514
Mar29,31,514
Mar30,32,589
Mar31,33,647
Apr01,34,708
Apr02,35,797
Apr03,36,868
Apr04,37,950
Apr05,38,1039
Apr06,39,1106
Apr07,40,1160
Apr08,41,1210
Apr09,42,1239
Apr10,43,1283
Apr11,44,1312
Apr12,45,1330
Apr13,46,1349
Apr14,47,1366
Apr15,48,1386
Apr16,49,1401
Apr17,50,1409
Apr18,51,1422
Apr19,52,1431
Apr20,53,1440
Apr21,54,1445
Apr22,55,1448
Apr23,56,1451
Apr24,57,1456
Apr25,58,1461
Apr26,59,1469
Apr27,60,1469
Apr28,61,1472
Apr29,62,1474
Apr30,63,1476
May01,64,1479
