day,dayNo,case
Mar28,1,1
Mar29,2,1
Mar30,3,1
Mar31,4,1
Apr01,5,1
Apr02,6,1
Apr03,7,1
Apr04,8,1
Apr05,9,1
Apr06,10,1
Apr07,11,1
Apr08,12,1
Apr09,13,1
Apr10,14,2
Apr11,15,4
Apr12,16,4
Apr13,17,5
Apr14,18,9
Apr15,19,9
Apr16,20,9
Apr17,21,11
Apr18,22,11
Apr19,23,12
Apr20,24,12
Apr21,25,13
Apr22,26,14
Apr23,27,16
Apr24,28,17
Apr25,29,18
Apr26,30,18
Apr27,31,19
Apr28,32,19
Apr29,33,19
Apr30,34,19
May01,35,19
May02,36,20
May03,37,20
May04,38,20
May05,39,20
May06,40,21
May07,41,21
May08,42,21
May09,43,21
May10,44,21
May11,45,21
May12,46,21
May13,47,21
May14,48,21
May15,49,21
May16,50,21
May17,51,21
May18,52,21
May19,53,21
May20,54,21
May21,55,21
May22,56,21
May23,57,21
May24,58,21
May25,59,21
May26,60,21
May27,61,21
May28,62,22
May29,63,22
May30,64,22
May31,65,22
Jun01,66,22
Jun02,67,22
Jun03,68,22
Jun04,69,22
Jun05,70,22
Jun06,71,22
Jun07,72,22
Jun08,73,22
Jun09,74,22
Jun10,75,22
Jun11,76,22
Jun12,77,22
Jun13,78,22
Jun14,79,22
Jun15,80,22
Jun16,81,22
Jun17,82,22
Jun18,83,22
Jun19,84,22
Jun20,85,22
Jun21,86,22
Jun22,87,22
Jun23,88,22
Jun24,89,22
Jun25,90,22
Jun26,91,22
Jun27,92,22
Jun28,93,22
Jun29,94,22
Jun30,95,22
Jul01,96,22
Jul02,97,22
Jul03,98,22
Jul04,99,22
