day,dayNo,case
Mar19,1,1
Mar20,2,2
Mar21,3,2
Mar22,4,2
Mar23,5,2
Mar24,6,2
Mar25,7,2
Mar26,8,2
Mar27,9,4
Mar28,10,4
Mar29,11,4
Mar30,12,4
Mar31,13,5
Apr01,14,5
Apr02,15,5
Apr03,16,5
Apr04,17,5
Apr05,18,6
Apr06,19,6
Apr07,20,6
Apr08,21,6
Apr09,22,7
Apr10,23,7
Apr11,24,9
Apr12,25,9
Apr13,26,9
Apr14,27,9
Apr15,28,9
Apr16,29,9
Apr17,30,9
Apr18,31,9
Apr19,32,10
Apr20,33,10
Apr21,34,10
Apr22,35,10
Apr23,36,11
Apr24,37,11
Apr25,38,12
Apr26,39,13
Apr27,40,13
Apr28,41,13
Apr29,42,13
Apr30,43,14
May01,44,14
May02,45,14
May03,46,14
May04,47,15
May05,48,16
May06,49,16
May07,50,16
May08,51,16
May09,52,16
May10,53,16
May11,54,16
May12,55,25
May13,56,25
May14,57,25
May15,58,25
May16,59,25
May17,60,25
May18,61,25
May19,62,254
May20,63,254
May21,64,279
May22,65,279
May23,66,279
May24,67,279
May25,68,279
May26,69,759
May27,70,759
May28,71,759
May29,72,759
May30,73,759
May31,74,759
Jun01,75,759
Jun02,76,1118
Jun03,77,1118
Jun04,78,1118
Jun05,79,1118
Jun06,80,1118
Jun07,81,1118
Jun08,82,1118
Jun09,83,1464
Jun10,84,1464
Jun11,85,1464
Jun12,86,1464
Jun13,87,1464
Jun14,88,1464
Jun15,89,1464
Jun16,90,1823
Jun17,91,1823
Jun18,92,1823
Jun19,93,1823
Jun20,94,1823
Jun21,95,1823
Jun22,96,1823
Jun23,97,2170
Jun24,98,2170
Jun25,99,2170
Jun26,100,2170
Jun27,101,2170
Jun28,102,2170
Jun29,103,2170
Jun30,104,2519
Jul01,105,2519
Jul02,106,2519
Jul03,107,2519
Jul04,108,2519
