day,dayNo,case
Mar27,1,1
Mar28,2,1
Mar29,3,1
Mar30,4,1
Mar31,5,1
Apr01,6,1
Apr02,7,1
Apr03,8,1
Apr04,9,1
Apr05,10,1
Apr06,11,1
Apr07,12,1
Apr08,13,1
Apr09,14,1
Apr10,15,1
Apr11,16,1
Apr12,17,1
Apr13,18,1
Apr14,19,1
Apr15,20,1
Apr16,21,1
Apr17,22,1
Apr18,23,2
Apr19,24,2
Apr20,25,2
Apr21,26,2
Apr22,27,2
Apr23,28,3
Apr24,29,3
Apr25,30,3
Apr26,31,3
Apr27,32,3
Apr28,33,3
Apr29,34,3
Apr30,35,3
May01,36,3
May02,37,3
May03,38,3
May04,39,5
May05,40,5
May06,41,5
May07,42,5
May08,43,5
May09,44,5
May10,45,5
May11,46,5
May12,47,8
May13,48,8
May14,49,8
May15,50,8
May16,51,8
May17,52,8
May18,53,8
May19,54,17
May20,55,17
May21,56,17
May22,57,17
May23,58,17
May24,59,17
May25,60,17
May26,61,35
May27,62,35
May28,63,35
May29,64,35
May30,65,35
May31,66,35
Jun01,67,35
Jun02,68,46
Jun03,69,46
Jun04,70,46
Jun05,71,46
Jun06,72,46
Jun07,73,46
Jun08,74,46
Jun09,75,55
Jun10,76,55
Jun11,77,55
Jun12,78,55
Jun13,79,55
Jun14,80,55
Jun15,81,55
Jun16,82,64
Jun17,83,64
Jun18,84,64
Jun19,85,64
Jun20,86,64
Jun21,87,64
Jun22,88,64
Jun23,89,74
Jun24,90,74
Jun25,91,74
Jun26,92,74
Jun27,93,74
Jun28,94,74
Jun29,95,74
Jun30,96,83
Jul01,97,83
Jul02,98,83
Jul03,99,83
Jul04,100,83
