day,dayNo,case
Mar19,1,1
Mar20,2,1
Mar21,3,1
Mar22,4,2
Mar23,5,3
Mar24,6,3
Mar25,7,7
Mar26,8,10
Mar27,9,10
Mar28,10,10
Mar29,11,18
Mar30,12,27
Mar31,13,34
Apr01,14,74
Apr02,15,98
Apr03,16,120
Apr04,17,144
Apr05,18,184
Apr06,19,253
Apr07,20,278
Apr08,21,342
Apr09,22,410
Apr10,23,438
Apr11,24,491
Apr12,25,529
Apr13,26,548
Apr14,27,570
Apr15,28,584
Apr16,29,584
Apr17,30,627
Apr18,31,639
Apr19,32,648
Apr20,33,648
Apr21,34,657
Apr22,35,662
Apr23,36,671
Apr24,37,681
Apr25,38,684
Apr26,39,696
Apr27,40,701
Apr28,41,709
Apr29,42,713
Apr30,43,719
May01,44,728
May02,45,736
May03,46,750
May04,47,755
May05,48,763
May06,49,770
May07,50,781
May08,51,795
May09,52,815
May10,53,821
May11,54,832
May12,55,854
May13,56,860
May14,57,876
May15,58,885
May16,59,889
May17,60,904
May18,61,909
May19,62,914
May20,63,920
May21,64,924
May22,65,937
May23,66,943
May24,67,945
May25,68,951
May26,69,952
May27,70,952
May28,71,955
May29,72,955
May30,73,956
May31,74,958
Jun01,75,958
Jun02,76,960
Jun03,77,961
Jun04,78,963
Jun05,79,966
Jun06,80,970
Jun07,81,973
Jun08,82,973
Jun09,83,974
Jun10,84,974
Jun11,85,974
Jun12,86,978
Jun13,87,980
Jun14,88,980
Jun15,89,980
Jun16,90,1016
Jun17,91,1020
Jun18,92,1020
Jun19,93,1020
Jun20,94,1035
Jun21,95,1036
Jun22,96,1046
Jun23,97,1051
Jun24,98,1051
Jun25,99,1056
Jun26,100,1059
Jun27,101,1062
Jun28,102,1074
Jun29,103,1075
Jun30,104,1075
Jul01,105,1075
Jul02,106,1081
Jul03,107,1082
Jul04,108,1082
