day,dayNo,case
Mar25,1,1
Mar26,2,1
Mar27,3,1
Mar28,4,1
Mar29,5,1
Mar30,6,3
Mar31,7,3
Apr01,8,5
Apr02,9,5
Apr03,10,5
Apr04,11,8
Apr05,12,10
Apr06,13,10
Apr07,14,11
Apr08,15,11
Apr09,16,11
Apr10,17,11
Apr11,18,11
Apr12,19,12
Apr13,20,13
Apr14,21,14
Apr15,22,14
Apr16,23,14
Apr17,24,18
Apr18,25,19
Apr19,26,20
Apr20,27,20
Apr21,28,20
Apr22,29,22
Apr23,30,24
Apr24,31,24
Apr25,32,27
Apr26,33,29
Apr27,34,29
Apr28,35,31
Apr29,36,32
Apr30,37,32
May01,38,33
May02,39,35
May03,40,36
May04,41,37
May05,42,38
May06,43,38
May07,44,42
May08,45,44
May09,46,45
May10,47,46
May11,48,46
May12,49,47
May13,50,49
May14,51,50
May15,52,51
May16,53,51
May17,54,54
May18,55,55
May19,56,55
May20,57,58
May21,58,60
May22,59,60
May23,60,61
May24,61,61
May25,62,62
May26,63,63
May27,64,63
May28,65,64
May29,66,64
May30,67,64
May31,68,64
Jun01,69,65
Jun02,70,65
Jun03,71,65
Jun04,72,65
Jun05,73,65
Jun06,74,65
Jun07,75,65
Jun08,76,65
Jun09,77,65
Jun10,78,65
Jun11,79,65
Jun12,80,65
Jun13,81,66
Jun14,82,66
Jun15,83,66
Jun16,84,66
Jun17,85,67
Jun18,86,67
Jun19,87,67
Jun20,88,67
Jun21,89,67
Jun22,90,67
Jun23,91,67
Jun24,92,67
Jun25,93,67
Jun26,94,67
Jun27,95,67
Jun28,96,67
Jun29,97,67
Jun30,98,67
Jul01,99,67
Jul02,100,68
Jul03,101,68
Jul04,102,68
