day,dayNo,case
Feb28,1,1
Feb29,2,1
Mar01,3,1
Mar02,4,1
Mar03,5,1
Mar04,6,1
Mar05,7,1
Mar06,8,1
Mar07,9,1
Mar08,10,1
Mar09,11,2
Mar10,12,2
Mar11,13,2
Mar12,14,2
Mar13,15,2
Mar14,16,2
Mar15,17,2
Mar16,18,2
Mar17,19,3
Mar18,20,8
Mar19,21,12
Mar20,22,12
Mar21,23,22
Mar22,24,30
Mar23,25,40
Mar24,26,44
Mar25,27,51
Mar26,28,65
Mar27,29,70
Mar28,30,97
Mar29,31,111
Mar30,32,131
Mar31,33,135
Apr01,34,174
Apr02,35,184
Apr03,36,210
Apr04,37,214
Apr05,38,232
Apr06,39,238
Apr07,40,254
Apr08,41,276
Apr09,42,288
Apr10,43,305
Apr11,44,318
Apr12,45,323
Apr13,46,343
Apr14,47,373
Apr15,48,407
Apr16,49,442
Apr17,50,493
Apr18,51,542
Apr19,52,627
Apr20,53,665
Apr21,54,782
Apr22,55,873
Apr23,56,981
Apr24,57,1095
Apr25,58,1182
Apr26,59,1273
Apr27,60,1337
Apr28,61,1532
Apr29,62,1728
Apr30,63,1932
May01,64,2170
