day,dayNo,case
Mar23,1,1
Mar24,2,1
Mar25,3,1
Mar26,4,1
Mar27,5,1
Mar28,6,1
Mar29,7,1
Mar30,8,2
Mar31,9,2
Apr01,10,2
Apr02,11,2
Apr03,12,4
Apr04,13,4
Apr05,14,5
Apr06,15,5
Apr07,16,6
Apr08,17,6
Apr09,18,7
Apr10,19,7
Apr11,20,10
Apr12,21,10
Apr13,22,10
Apr14,23,11
Apr15,24,12
Apr16,25,13
Apr17,26,17
Apr18,27,19
Apr19,28,21
Apr20,29,22
Apr21,30,25
Apr22,31,28
Apr23,32,31
Apr24,33,32
Apr25,34,35
Apr26,35,40
Apr27,36,40
Apr28,37,44
Apr29,38,51
Apr30,39,58
May01,40,68
May02,41,85
May03,42,87
May04,43,93
May05,44,98
May06,45,103
May07,46,107
May08,47,117
May09,48,128
May10,49,143
May11,50,150
May12,51,158
May13,52,164
May14,53,167
May15,54,171
May16,55,176
May17,56,182
May18,57,191
May19,58,192
May20,59,200
May21,60,211
May22,61,221
May23,62,221
May24,63,226
May25,64,233
May26,65,249
May27,66,254
May28,67,259
May29,68,261
May30,69,273
May31,70,287
Jun01,71,299
Jun02,72,314
Jun03,73,315
Jun04,74,323
Jun05,75,333
Jun06,76,342
Jun07,77,354
Jun08,78,361
Jun09,79,365
Jun10,80,382
Jun11,81,387
Jun12,82,399
Jun13,83,407
Jun14,84,420
Jun15,85,424
Jun16,86,455
Jun17,87,469
Jun18,88,475
Jun19,89,487
Jun20,90,506
Jun21,91,518
Jun22,92,525
Jun23,93,533
Jun24,94,542
Jun25,95,549
Jun26,96,554
Jun27,97,558
Jun28,98,565
Jun29,99,573
Jun30,100,590
Jul01,101,603
Jul02,102,616
Jul03,103,628
Jul04,104,634
