day,dayNo,case
Feb26,1,1
Feb27,2,1
Feb28,3,1
Feb29,4,1
Mar01,5,1
Mar02,6,1
Mar03,7,1
Mar04,8,1
Mar05,9,1
Mar06,10,3
Mar07,11,3
Mar08,12,3
Mar09,13,5
Mar10,14,7
Mar11,15,9
Mar12,16,9
Mar13,17,14
Mar14,18,19
Mar15,19,19
Mar16,20,24
Mar17,21,31
Mar18,22,43
Mar19,23,50
Mar20,24,76
Mar21,25,85
Mar22,26,115
Mar23,27,136
Mar24,28,148
Mar25,29,177
Mar26,30,201
Mar27,31,219
Mar28,32,241
Mar29,33,259
Mar30,34,285
Mar31,35,329
Apr01,36,354
Apr02,37,384
Apr03,38,430
Apr04,39,483
Apr05,40,555
Apr06,41,570
Apr07,42,599
Apr08,43,617
Apr09,44,663
Apr10,45,711
Apr11,46,760
Apr12,47,828
Apr13,48,854
Apr14,49,908
Apr15,50,974
Apr16,51,1081
Apr17,52,1117
Apr18,53,1170
Apr19,54,1207
Apr20,55,1225
Apr21,56,1231
Apr22,57,1259
Apr23,58,1300
Apr24,59,1326
Apr25,60,1367
Apr26,61,1386
Apr27,62,1399
Apr28,63,1421
Apr29,64,1442
Apr30,65,1465
May01,66,1494
