day,dayNo,case
Mar22,1,1
Mar23,2,2
Mar24,3,2
Mar25,4,3
Mar26,5,3
Mar27,6,3
Mar28,7,4
Mar29,8,6
Mar30,9,7
Mar31,10,9
Apr01,11,11
Apr02,12,11
Apr03,13,12
Apr04,14,17
Apr05,15,18
Apr06,16,23
Apr07,17,26
Apr08,18,29
Apr09,19,30
Apr10,20,32
Apr11,21,34
Apr12,22,34
Apr13,23,38
Apr14,24,44
Apr15,25,45
Apr16,26,46
Apr17,27,49
Apr18,28,49
Apr19,29,51
Apr20,30,54
Apr21,31,55
Apr22,32,56
Apr23,33,56
Apr24,34,57
Apr25,35,59
Apr26,36,61
Apr27,37,65
Apr28,38,71
Apr29,39,73
Apr30,40,77
May01,41,81
May02,42,82
May03,43,84
May04,44,85
May05,45,86
May06,46,88
May07,47,89
May08,48,90
May09,49,91
May10,50,91
May11,51,91
May12,52,92
May13,53,95
May14,54,95
May15,55,97
May16,56,98
May17,57,101
May18,58,104
May19,59,106
May20,60,110
May21,61,111
May22,62,112
May23,63,113
May24,64,113
May25,65,113
May26,66,116
May27,67,119
May28,68,121
May29,69,126
May30,70,131
May31,71,133
Jun01,72,140
Jun02,73,141
Jun03,74,145
Jun04,75,147
Jun05,76,149
Jun06,77,151
Jun07,78,153
Jun08,79,156
Jun09,80,157
Jun10,81,164
Jun11,82,169
Jun12,83,171
Jun13,84,179
Jun14,85,188
Jun15,86,193
Jun16,87,201
Jun17,88,210
Jun18,89,216
Jun19,90,222
Jun20,91,233
Jun21,92,238
Jun22,93,247
Jun23,94,251
Jun24,95,259
Jun25,96,265
Jun26,97,268
Jun27,98,277
Jun28,99,286
Jun29,100,298
Jun30,101,302
Jul01,102,306
Jul02,103,321
Jul03,104,328
Jul04,105,334
