day,dayNo,case
Feb26,1,1
Feb27,2,4
Feb28,3,6
Feb29,4,15
Mar01,5,19
Mar02,6,25
Mar03,7,33
Mar04,8,59
Mar05,9,94
Mar06,10,127
Mar07,11,156
Mar08,12,176
Mar09,13,227
Mar10,14,400
Mar11,15,629
Mar12,16,800
Mar13,17,996
Mar14,18,1109
Mar15,19,1256
Mar16,20,1348
Mar17,21,1471
Mar18,22,1591
Mar19,23,1790
Mar20,24,1959
Mar21,25,2164
Mar22,26,2385
Mar23,27,2625
Mar24,28,2866
Mar25,29,3084
Mar26,30,3372
Mar27,31,3771
Mar28,32,4015
Mar29,33,4284
Mar30,34,4445
Mar31,35,4641
Apr01,36,4877
Apr02,37,5147
Apr03,38,5370
Apr04,39,5550
Apr05,40,5687
Apr06,41,5865
Apr07,42,6086
Apr08,43,6042
Apr09,44,6219
Apr10,45,6314
Apr11,46,6409
Apr12,47,6525
Apr13,48,6603
Apr14,49,6623
Apr15,50,6797
Apr16,51,6905
Apr17,52,6937
Apr18,53,7036
Apr19,54,7078
Apr20,55,7156
Apr21,56,7241
Apr22,57,7338
Apr23,58,7401
Apr24,59,7463
Apr25,60,7493
Apr26,61,7527
Apr27,62,7599
Apr28,63,7660
Apr29,64,7710
Apr30,65,7738
May01,66,7783
May02,67,7809
May03,68,7847
May04,69,7904
May05,70,7955
May06,71,7996
May07,72,8034
May08,73,8070
May09,74,8099
May10,75,8105
May11,76,8132
May12,77,8157
May13,78,8175
May14,79,8196
May15,80,8219
May16,81,8237
May17,82,8249
May18,83,8257
May19,84,8267
May20,85,8281
May21,86,8309
May22,87,8332
May23,88,8346
May24,89,8352
May25,90,8364
May26,91,8383
May27,92,8401
May28,93,8411
May29,94,8422
May30,95,8437
May31,96,8440
Jun01,97,8446
Jun02,98,8455
Jun03,99,8477
Jun04,100,8504
Jun05,101,8522
Jun06,102,8531
Jun07,103,8547
Jun08,104,8561
Jun09,105,8576
Jun10,106,8594
Jun11,107,8608
Jun12,108,8620
Jun13,109,8628
Jun14,110,8631
Jun15,111,8647
Jun16,112,8660
Jun17,113,8692
Jun18,114,8708
Jun19,115,8726
Jun20,116,8742
Jun21,117,8745
Jun22,118,8751
Jun23,119,8772
Jun24,120,8788
Jun25,121,8788
Jun26,122,8832
Jun27,123,8846
Jun28,124,8855
Jun29,125,8862
Jun30,126,8879
Jul01,127,8896
Jul02,128,8902
Jul03,129,8921
Jul04,130,8926
