day,dayNo,case
Mar12,1,1
Mar13,2,1
Mar14,3,3
Mar15,4,3
Mar16,5,3
Mar17,6,3
Mar18,7,6
Mar19,8,7
Mar20,9,7
Mar21,10,7
Mar22,11,7
Mar23,12,10
Mar24,13,12
Mar25,14,14
Mar26,15,14
Mar27,16,19
Mar28,17,23
Mar29,18,26
Mar30,19,32
Mar31,20,39
Apr01,21,44
Apr02,22,50
Apr03,23,59
Apr04,24,62
Apr05,25,71
Apr06,26,76
Apr07,27,89
Apr08,28,101
Apr09,29,108
Apr10,30,113
Apr11,31,119
Apr12,32,128
Apr13,33,134
Apr14,34,139
Apr15,35,150
Apr16,36,152
Apr17,37,161
Apr18,38,164
Apr19,39,165
Apr20,40,181
Apr21,41,182
Apr22,42,187
Apr23,43,194
Apr24,44,199
Apr25,45,201
Apr26,46,201
Apr27,47,205
Apr28,48,206
Apr29,49,207
Apr30,50,210
May01,51,210
