day,dayNo,case
Feb24,1,2
Feb25,2,4
Feb26,3,4
Feb27,4,6
Feb28,5,6
Feb29,6,6
Mar01,7,6
Mar02,8,6
Mar03,9,12
Mar04,10,15
Mar05,11,16
Mar06,12,16
Mar07,13,16
Mar08,14,16
Mar09,15,18
Mar10,16,18
Mar11,17,18
Mar12,18,18
Mar13,19,19
Mar14,20,20
Mar15,21,22
Mar16,22,24
Mar17,23,33
Mar18,24,39
Mar19,25,48
Mar20,26,48
Mar21,27,52
Mar22,28,55
Mar23,29,66
Mar24,30,84
Mar25,31,99
Mar26,32,109
Mar27,33,131
Mar28,34,152
Mar29,35,167
Mar30,36,179
Mar31,37,192
Apr01,38,210
Apr02,39,231
Apr03,40,252
Apr04,41,277
Apr05,42,298
Apr06,43,331
Apr07,44,371
Apr08,45,419
Apr09,46,457
Apr10,47,484
Apr11,48,546
Apr12,49,599
Apr13,50,727
Apr14,51,813
Apr15,52,910
Apr16,53,1019
Apr17,54,1069
Apr18,55,1180
Apr19,56,1266
Apr20,57,1410
Apr21,58,1508
Apr22,59,1614
Apr23,60,1716
Apr24,61,1790
Apr25,62,1905
Apr26,63,1998
Apr27,64,2049
Apr28,65,2131
Apr29,66,2274
Apr30,67,2348
May01,68,2447
