day,dayNo,case
Mar31,1,1
Apr01,2,1
Apr02,3,1
Apr03,4,1
Apr04,5,2
Apr05,6,2
Apr06,7,2
Apr07,8,2
Apr08,9,2
Apr09,10,3
Apr10,11,3
Apr11,12,3
Apr12,13,4
Apr13,14,4
Apr14,15,4
Apr15,16,4
Apr16,17,4
Apr17,18,6
Apr18,19,6
Apr19,20,7
Apr20,21,7
Apr21,22,8
Apr22,23,8
Apr23,24,9
Apr24,25,10
Apr25,26,10
Apr26,27,10
Apr27,28,10
Apr28,29,10
Apr29,30,10
Apr30,31,11
May01,32,11
May02,33,12
May03,34,12
May04,35,12
May05,36,13
May06,37,13
May07,38,15
May08,39,16
May09,40,17
May10,41,17
May11,42,17
May12,43,17
May13,44,17
May14,45,18
May15,46,20
May16,47,21
May17,48,22
May18,49,25
May19,50,27
May20,51,30
May21,52,31
May22,53,34
May23,54,36
May24,55,37
May25,56,37
May26,57,37
May27,58,39
May28,59,40
May29,60,41
May30,61,42
May31,62,49
Jun01,63,50
Jun02,64,59
Jun03,65,67
Jun04,66,67
Jun05,67,72
Jun06,68,72
Jun07,69,75
Jun08,70,81
Jun09,71,83
Jun10,72,84
Jun11,73,89
Jun12,74,96
Jun13,75,99
Jun14,76,104
Jun15,77,108
Jun16,78,114
Jun17,79,116
Jun18,80,119
Jun19,81,125
Jun20,82,128
Jun21,83,131
Jun22,84,137
Jun23,85,140
Jun24,86,142
Jun25,87,144
Jun26,88,153
Jun27,89,159
Jun28,90,163
Jun29,91,169
Jun30,92,176
Jul01,93,185
Jul02,94,188
Jul03,95,193
Jul04,96,203
