day,dayNo,case
Feb26,1,2
Feb27,2,2
Feb28,3,2
Feb29,4,4
Mar01,5,4
Mar02,6,4
Mar03,7,5
Mar04,8,5
Mar05,9,5
Mar06,10,6
Mar07,11,6
Mar08,12,7
Mar09,13,16
Mar10,14,19
Mar11,15,20
Mar12,16,21
Mar13,17,28
Mar14,18,33
Mar15,19,53
Mar16,20,184
Mar17,21,247
Mar18,22,307
Mar19,23,454
Mar20,24,501
Mar21,25,645
Mar22,26,776
Mar23,27,875
Mar24,28,972
Mar25,29,1063
Mar26,30,1201
Mar27,31,1373
Mar28,32,1495
Mar29,33,1597
Mar30,34,1717
Mar31,35,1938
Apr01,36,2118
Apr02,37,2421
Apr03,38,2686
Apr04,39,2818
Apr05,40,3157
Apr06,41,3766
Apr07,42,4035
Apr08,43,4263
Apr09,44,4489
Apr10,45,4695
Apr11,46,5011
Apr12,47,5230
Apr13,48,5496
Apr14,49,5837
Apr15,50,6383
Apr16,51,6919
Apr17,52,7025
Apr18,53,7638
Apr19,54,8348
Apr20,55,8892
Apr21,56,9565
Apr22,57,10076
Apr23,58,11057
Apr24,59,11940
Apr25,60,12723
Apr26,61,13328
Apr27,62,13915
Apr28,63,14612
Apr29,64,15525
Apr30,65,16473
May01,66,18092
May02,67,19022
May03,68,20084
May04,69,20941
May05,70,22049
May06,71,23214
May07,72,24644
May08,73,26435
May09,74,28736
May10,75,30334
May11,76,30941
May12,77,32674
May13,78,35298
May14,79,35788
May15,80,37218
May16,81,38799
May17,82,40151
May18,83,42125
May19,84,43966
May20,85,45898
May21,86,48091
May22,87,50694
May23,88,52437
May24,89,54601
May25,90,56349
May26,91,57705
May27,92,59151
May28,93,61227
May29,94,64028
May30,95,66457
May31,96,69496
Jun01,97,72460
Jun02,98,76398
Jun03,99,80463
Jun04,100,85264
Jun05,101,89249
Jun06,102,93983
Jun07,103,98943
Jun08,104,103671
Jun09,105,108317
Jun10,106,113702
Jun11,107,119536
Jun12,108,125933
Jun13,109,132405
Jun14,110,139230
Jun15,111,144478
Jun16,112,148921
Jun17,113,154760
Jun18,114,160118
Jun19,115,165062
Jun20,116,171666
Jun21,117,176617
Jun22,118,181088
Jun23,119,185034
Jun24,120,188926
Jun25,121,192970
Jun26,122,195745
Jun27,123,198883
Jun28,124,202955
Jun29,125,206512
Jun30,126,209337
Jul01,127,213470
Jul02,128,217809
Jul03,129,221896
Jul04,130,225283
