day,dayNo,case
Mar18,1,2
Mar19,2,2
Mar20,3,3
Mar21,4,3
Mar22,5,5
Mar23,6,6
Mar24,7,7
Mar25,8,8
Mar26,9,9
Mar27,10,11
Mar28,11,12
Mar29,12,14
Mar30,13,21
Mar31,14,26
Apr01,15,27
Apr02,16,34
Apr03,17,40
Apr04,18,41
Apr05,19,47
Apr06,20,53
Apr07,21,57
Apr08,22,61
Apr09,23,65
Apr10,24,66
Apr11,25,86
Apr12,26,91
Apr13,27,93
Apr14,28,96
Apr15,29,111
Apr16,30,128
Apr17,31,135
Apr18,32,143
Apr19,33,168
Apr20,34,176
Apr21,35,201
Apr22,36,212
Apr23,37,235
Apr24,38,253
Apr25,39,269
Apr26,40,281
Apr27,41,292
Apr28,42,312
Apr29,43,343
Apr30,44,361
May01,45,417
May02,46,437
May03,47,457
May04,48,476
May05,49,514
May06,50,544
May07,51,585
May08,52,599
May09,53,636
May10,54,659
May11,55,667
May12,56,724
May13,57,761
May14,58,770
May15,59,803
May16,60,834
May17,61,873
May18,62,903
May19,63,939
May20,64,985
May21,65,1017
May22,66,1067
May23,67,1101
May24,68,1133
May25,69,1167
May26,70,1197
May27,71,1225
May28,72,1260
May29,73,1317
May30,74,1395
May31,75,1483
Jun01,76,1543
Jun02,77,1621
Jun03,78,1688
Jun04,79,1770
Jun05,80,1838
Jun06,81,1935
Jun07,82,2002
Jun08,83,2067
Jun09,84,2172
Jun10,85,2255
Jun11,86,2356
Jun12,87,2463
Jun13,88,2551
Jun14,89,2632
Jun15,90,2729
Jun16,91,2839
Jun17,92,2975
Jun18,93,3093
Jun19,94,3229
Jun20,95,3382
Jun21,96,3501
Jun22,97,3590
Jun23,98,3695
Jun24,99,3755
Jun25,100,3903
Jun26,101,3962
Jun27,102,4035
Jun28,103,4118
Jun29,104,4167
Jun30,105,4304
Jul01,106,4395
Jul02,107,4473
Jul03,108,4551
Jul04,109,4619
