day,dayNo,case
Mar05,1,7
Mar06,2,16
Mar07,3,19
Mar08,4,19
Mar09,5,26
Mar10,6,31
Mar11,7,31
Mar12,8,32
Mar13,9,36
Mar14,10,39
Mar15,11,39
Mar16,12,40
Mar17,13,43
Mar18,14,43
Mar19,15,45
Mar20,16,47
Mar21,17,50
Mar22,18,57
Mar23,19,57
Mar24,20,58
Mar25,21,63
Mar26,22,84
Mar27,23,91
Mar28,24,98
Mar29,25,106
Mar30,26,117
Mar31,27,119
Apr01,28,133
Apr02,29,154
Apr03,30,193
Apr04,31,217
Apr05,32,236
Apr06,33,254
Apr07,34,261
Apr08,35,263
Apr09,36,263
Apr10,37,267
Apr11,38,268
Apr12,39,271
Apr13,40,274
Apr14,41,288
Apr15,42,291
Apr16,43,295
Apr17,44,307
Apr18,45,313
Apr19,46,322
Apr20,47,329
Apr21,48,334
Apr22,49,335
Apr23,50,336
Apr24,51,340
Apr25,52,342
Apr26,53,342
Apr27,54,342
Apr28,55,343
Apr29,56,344
Apr30,57,344
May01,58,353
May02,59,353
May03,60,353
May04,61,362
May05,62,371
May06,63,374
May07,64,375
May08,65,375
May09,66,375
May10,67,375
May11,68,375
May12,69,375
May13,70,375
May14,71,375
May15,72,375
May16,73,376
May17,74,381
May18,75,388
May19,76,391
May20,77,398
May21,78,423
May22,79,423
May23,80,423
May24,81,423
May25,82,423
May26,83,429
May27,84,434
May28,85,446
May29,86,446
May30,87,447
May31,88,448
Jun01,89,449
Jun02,90,451
Jun03,91,457
Jun04,92,464
Jun05,93,464
Jun06,94,464
Jun07,95,472
Jun08,96,473
Jun09,97,481
Jun10,98,485
Jun11,99,487
Jun12,100,489
Jun13,101,489
Jun14,102,492
Jun15,103,505
Jun16,104,514
Jun17,105,555
Jun18,106,600
Jun19,107,675
Jun20,108,784
Jun21,109,833
Jun22,110,1001
Jun23,111,1169
Jun24,112,1328
Jun25,113,1382
Jun26,114,1557
Jun27,115,1815
Jun28,116,1990
Jun29,117,2185
Jun30,118,2428
Jul01,119,2758
Jul02,120,3080
Jul03,121,3334
Jul04,122,3835
