day,dayNo,case
Mar25,1,1
Mar26,2,1
Mar27,3,1
Mar28,4,1
Mar29,5,1
Mar30,6,1
Mar31,7,1
Apr01,8,1
Apr02,9,1
Apr03,10,1
Apr04,11,1
Apr05,12,1
Apr06,13,1
Apr07,14,1
Apr08,15,1
Apr09,16,1
Apr10,17,2
Apr11,18,2
Apr12,19,2
Apr13,20,2
Apr14,21,2
Apr15,22,2
Apr16,23,2
Apr17,24,2
Apr18,25,2
Apr19,26,2
Apr20,27,2
Apr21,28,2
Apr22,29,2
Apr23,30,2
Apr24,31,2
Apr25,32,2
Apr26,33,2
Apr27,34,2
Apr28,35,2
Apr29,36,2
Apr30,37,2
May01,38,2
May02,39,2
May03,40,2
May04,41,2
May05,42,2
May06,43,2
May07,44,2
May08,45,2
May09,46,2
May10,47,2
May11,48,2
May12,49,2
May13,50,2
May14,51,2
May15,52,2
May16,53,2
May17,54,2
May18,55,2
May19,56,2
May20,57,2
May21,58,2
May22,59,2
May23,60,3
May24,61,3
May25,62,3
May26,63,3
May27,64,3
May28,65,3
May29,66,3
May30,67,3
May31,68,3
Jun01,69,3
Jun02,70,3
Jun03,71,3
Jun04,72,3
Jun05,73,3
Jun06,74,3
Jun07,75,3
Jun08,76,3
Jun09,77,3
Jun10,78,3
Jun11,79,3
Jun12,80,3
Jun13,81,3
Jun14,82,3
Jun15,83,3
Jun16,84,3
Jun17,85,3
Jun18,86,3
Jun19,87,3
Jun20,88,3
Jun21,89,3
Jun22,90,3
Jun23,91,3
Jun24,92,3
Jun25,93,3
Jun26,94,3
Jun27,95,4
Jun28,96,4
Jun29,97,5
Jun30,98,8
Jul01,99,8
Jul02,100,9
Jul03,101,11
Jul04,102,13
