day,dayNo,case
Mar10,1,1
Mar11,2,14
Mar12,3,14
Mar13,4,27
Mar14,5,43
Mar15,6,55
Mar16,7,69
Mar17,8,69
Mar18,9,109
Mar19,10,137
Mar20,11,200
Mar21,12,245
Mar22,13,313
Mar23,14,345
Mar24,15,443
Mar25,16,558
Mar26,17,674
Mar27,18,786
Mar28,19,901
Mar29,20,989
Mar30,21,1075
Mar31,22,1181
Apr01,23,1317
Apr02,24,1475
Apr03,25,1673
Apr04,26,1801
Apr05,27,1801
Apr06,28,2100
Apr07,29,2100
Apr08,30,2528
Apr09,31,2752
Apr10,32,2974
Apr11,33,3234
Apr12,34,3400
Apr13,35,3472
Apr14,36,3574
Apr15,37,3751
Apr16,38,3751
Apr17,39,4016
Apr18,40,4210
Apr19,41,4273
Apr20,42,4467
Apr21,43,4658
Apr22,44,4821
Apr23,45,4992
Apr24,46,5166
Apr25,47,5338
Apr26,48,5538
Apr27,49,5779
Apr28,50,6021
Apr29,51,6200
Apr30,52,6378
May01,53,6532
