day,dayNo,case
Mar11,1,1
Mar12,2,1
Mar13,3,1
Mar14,4,1
Mar15,5,1
Mar16,6,1
Mar17,7,1
Mar18,8,1
Mar19,9,1
Mar20,10,1
Mar21,11,3
Mar22,12,3
Mar23,13,6
Mar24,14,6
Mar25,15,8
Mar26,16,9
Mar27,17,14
Mar28,18,17
Mar29,19,24
Mar30,20,27
Mar31,21,30
Apr01,22,32
Apr02,23,37
Apr03,24,41
Apr04,25,46
Apr05,26,46
Apr06,27,55
Apr07,28,55
Apr08,29,63
Apr09,30,66
Apr10,31,74
Apr11,32,79
Apr12,33,87
Apr13,34,94
Apr14,35,95
Apr15,36,103
Apr16,37,103
Apr17,38,109
Apr18,39,116
Apr19,40,120
Apr20,41,126
Apr21,42,136
Apr22,43,141
Apr23,44,144
Apr24,45,146
Apr25,46,154
Apr26,47,159
Apr27,48,165
Apr28,49,167
Apr29,50,176
Apr30,51,178
May01,52,188
May02,53,192
May03,54,197
May04,55,200
May05,56,203
May06,57,210
May07,58,218
May08,59,225
May09,60,231
May10,61,237
May11,62,244
May12,63,249
May13,64,252
May14,65,256
May15,66,260
May16,67,266
May17,68,269
May18,69,275
May19,70,281
May20,71,287
May21,72,291
May22,73,295
May23,74,299
May24,75,306
May25,76,310
May26,77,313
May27,78,315
May28,79,320
May29,80,326
May30,81,330
May31,82,336
Jun01,83,344
Jun02,84,352
Jun03,85,357
Jun04,86,363
Jun05,87,370
Jun06,88,386
Jun07,89,393
Jun08,90,398
Jun09,91,403
Jun10,92,413
Jun11,93,418
Jun12,94,421
Jun13,95,429
Jun14,96,437
Jun15,97,448
Jun16,98,457
Jun17,99,470
Jun18,100,475
Jun19,101,485
Jun20,102,493
Jun21,103,501
Jun22,104,521
Jun23,105,536
Jun24,106,547
Jun25,107,564
Jun26,108,575
Jun27,109,592
Jun28,110,604
Jun29,111,620
Jun30,112,631
Jul01,113,645
Jul02,114,667
Jul03,115,698
Jul04,116,720
