day,dayNo,case
Mar07,1,1
Mar08,2,1
Mar09,3,1
Mar10,4,2
Mar11,5,5
Mar12,6,6
Mar13,7,6
Mar14,8,7
Mar15,9,8
Mar16,10,8
Mar17,11,9
Mar18,12,11
Mar19,13,13
Mar20,14,18
Mar21,15,22
Mar22,16,22
Mar23,17,22
Mar24,18,27
Mar25,19,37
Mar26,20,41
Mar27,21,52
Mar28,22,56
Mar29,23,59
Mar30,24,64
Mar31,25,65
Apr01,26,69
Apr02,27,77
Apr03,28,92
Apr04,29,96
Apr05,30,104
Apr06,31,113
Apr07,32,115
Apr08,33,119
Apr09,34,124
Apr10,35,129
Apr11,36,133
Apr12,37,134
Apr13,38,147
Apr14,39,159
Apr15,40,161
Apr16,41,174
Apr17,42,199
Apr18,43,202
Apr19,44,206
Apr20,45,208
Apr21,46,208
Apr22,47,213
Apr23,48,213
Apr24,49,220
Apr25,50,223
Apr26,51,228
Apr27,52,228
Apr28,53,230
Apr29,54,239
Apr30,55,249
May01,56,266
May02,57,333
May03,58,370
May04,59,396
May05,60,431
May06,61,440
May07,62,462
May08,63,563
May09,64,689
May10,65,713
May11,66,724
May12,67,737
May13,68,740
May14,69,754
May15,70,759
May16,71,778
May17,72,786
May18,73,788
May19,74,829
May20,75,833
May21,76,836
May22,77,838
May23,78,850
May24,79,862
May25,80,865
May26,81,877
May27,82,884
May28,83,900
May29,84,917
May30,85,964
May31,86,986
Jun01,87,995
Jun02,88,1013
Jun03,89,1070
Jun04,90,1086
Jun05,91,1087
Jun06,92,1090
Jun07,93,1135
Jun08,94,1145
Jun09,95,1187
Jun10,96,1202
Jun11,97,1230
Jun12,98,1254
Jun13,99,1261
Jun14,100,1289
Jun15,101,1296
Jun16,102,1303
Jun17,103,1308
Jun18,104,1330
Jun19,105,1336
Jun20,106,1362
Jun21,107,1379
Jun22,108,1392
Jun23,109,1422
Jun24,110,1528
Jun25,111,1569
Jun26,112,1711
Jun27,113,1942
Jun28,114,2127
Jun29,115,2191
Jun30,116,2221
Jul01,117,2260
Jul02,118,2303
Jul03,119,2349
Jul04,120,2385
