day,dayNo,case
Mar21,1,1
Mar22,2,1
Mar23,3,1
Mar24,4,2
Mar25,5,3
Mar26,6,3
Mar27,7,3
Mar28,8,3
Mar29,9,3
Mar30,10,3
Mar31,11,3
Apr01,12,3
Apr02,13,3
Apr03,14,3
Apr04,15,3
Apr05,16,3
Apr06,17,5
Apr07,18,5
Apr08,19,5
Apr09,20,5
Apr10,21,6
Apr11,22,6
Apr12,23,6
Apr13,24,6
Apr14,25,7
Apr15,26,8
Apr16,27,8
Apr17,28,8
Apr18,29,8
Apr19,30,8
Apr20,31,8
Apr21,32,8
Apr22,33,9
Apr23,34,9
Apr24,35,9
Apr25,36,9
Apr26,37,9
Apr27,38,9
Apr28,39,9
Apr29,40,9
Apr30,41,9
May01,42,10
May02,43,10
May03,44,10
May04,45,10
May05,46,10
May06,47,10
May07,48,10
May08,49,10
May09,50,10
May10,51,10
May11,52,10
May12,53,10
May13,54,11
May14,55,11
May15,56,11
May16,57,11
May17,58,11
May18,59,11
May19,60,11
May20,61,11
May21,62,11
May22,63,11
May23,64,11
May24,65,11
May25,66,11
May26,67,11
May27,68,11
May28,69,11
May29,70,11
May30,71,11
May31,72,11
Jun01,73,11
Jun02,74,11
Jun03,75,11
Jun04,76,11
Jun05,77,11
Jun06,78,11
Jun07,79,11
Jun08,80,11
Jun09,81,11
Jun10,82,11
Jun11,83,11
Jun12,84,11
Jun13,85,11
Jun14,86,11
Jun15,87,12
Jun16,88,12
Jun17,89,13
Jun18,90,13
Jun19,91,13
Jun20,92,13
Jun21,93,13
Jun22,94,13
Jun23,95,13
Jun24,96,13
Jun25,97,13
Jun26,98,13
Jun27,99,15
Jun28,100,15
Jun29,101,16
Jun30,102,17
Jul01,103,19
Jul02,104,19
Jul03,105,19
Jul04,106,20
