day,dayNo,case
Mar06,1,1
Mar07,2,6
Mar08,3,7
Mar09,4,9
Mar10,5,11
Mar11,6,17
Mar12,7,22
Mar13,8,38
Mar14,9,43
Mar15,10,71
Mar16,11,86
Mar17,12,117
Mar18,13,145
Mar19,14,234
Mar20,15,263
Mar21,16,318
Mar22,17,363
Mar23,18,395
Mar24,19,416
Mar25,20,480
Mar26,21,580
Mar27,22,635
Mar28,23,671
Mar29,24,852
Mar30,25,950
Mar31,26,1065
Apr01,27,1323
Apr02,28,1414
Apr03,29,1595
Apr04,30,1746
Apr05,31,2281
Apr06,32,2561
Apr07,33,2954
Apr08,34,4342
Apr09,35,5256
Apr10,36,5897
Apr11,37,6848
Apr12,38,7519
Apr13,39,9784
Apr14,40,10303
Apr15,41,11475
Apr16,42,12491
Apr17,43,13489
Apr18,44,14420
Apr19,45,15628
Apr20,46,16325
Apr21,47,17837
Apr22,48,19250
Apr23,49,20914
Apr24,50,21648
Apr25,51,25331
Apr26,52,27517
Apr27,53,28699
Apr28,54,31190
Apr29,55,33931
Apr30,56,36976
May01,57,40459
May02,58,42534
May03,59,45928
May04,60,47372
May05,61,51189
May06,62,54817
May07,63,58526
May08,64,61847
May09,65,65015
May10,66,67307
May11,67,68822
May12,68,72059
May13,69,76306
May14,70,80604
May15,71,84495
May16,72,88541
May17,73,92273
May18,74,94933
May19,75,99483
May20,76,104020
May21,77,108769
May22,78,111698
May23,79,115754
May24,80,119959
May25,81,123979
May26,82,129751
May27,83,135905
May28,84,141779
May29,85,148285
May30,86,155671
May31,87,164476
Jun01,88,170039
Jun02,89,174884
Jun03,90,178914
Jun04,91,183198
Jun05,92,187400
Jun06,93,191758
Jun07,94,196515
Jun08,95,199696
Jun09,96,203736
Jun10,97,208823
Jun11,98,214788
Jun12,99,220749
Jun13,100,225132
Jun14,101,229736
Jun15,102,232992
Jun16,103,237156
Jun17,104,240908
Jun18,105,244388
Jun19,106,247925
Jun20,107,251338
Jun21,108,254936
Jun22,109,257447
Jun23,110,260810
Jun24,111,264689
Jun25,112,268602
Jun26,113,272364
Jun27,114,275989
Jun28,115,279419
Jun29,116,282365
Jun30,117,285213
Jul01,118,288477
Jul02,119,292004
Jul03,120,295599
Jul04,121,299080
