day,dayNo,case
Mar19,1,1
Mar20,2,4
Mar21,3,5
Mar22,4,5
Mar23,5,5
Mar24,6,7
Mar25,7,9
Mar26,8,9
Mar27,9,11
Mar28,10,16
Mar29,11,18
Mar30,12,24
Mar31,13,30
Apr01,14,38
Apr02,15,55
Apr03,16,61
Apr04,17,73
Apr05,18,83
Apr06,19,92
Apr07,20,107
Apr08,21,121
Apr09,22,138
Apr10,23,169
Apr11,24,181
Apr12,25,193
Apr13,26,216
Apr14,27,230
Apr15,28,254
Apr16,29,274
Apr17,30,300
Apr18,31,348
Apr19,32,400
Apr20,33,445
Apr21,34,484
Apr22,35,530
Apr23,36,572
Apr24,37,634
Apr25,38,700
Apr26,39,728
Apr27,40,782
Apr28,41,854
Apr29,42,943
Apr30,43,1051
May01,44,1124
May02,45,1200
May03,46,1286
May04,47,1344
May05,48,1444
May06,49,1533
May07,50,1627
May08,51,1714
May09,52,1814
May10,53,1889
May11,54,1961
May12,55,2057
May13,56,2169
May14,57,2267
May15,58,2392
May16,59,2523
May17,60,2648
May18,61,2789
May19,62,2914
May20,63,3024
May21,64,3148
May22,65,3244
May23,66,3373
May24,67,3456
May25,68,3629
May26,69,3788
May27,70,3983
May28,71,4099
May29,72,4230
May30,73,4371
May31,74,4506
Jun01,75,4634
Jun02,76,4767
Jun03,77,4894
Jun04,78,5031
Jun05,79,5162
Jun06,80,5301
Jun07,81,5465
Jun08,82,5571
Jun09,83,5738
Jun10,84,5903
Jun11,85,6109
Jun12,86,6308
Jun13,87,6498
Jun14,88,6688
Jun15,89,6860
Jun16,90,7056
Jun17,91,7257
Jun18,92,7461
Jun19,93,7660
Jun20,94,7861
Jun21,95,8045
Jun22,96,8223
Jun23,97,8404
Jun24,98,8586
Jun25,99,8761
Jun26,100,8939
Jun27,101,9135
Jun28,102,9317
Jun29,103,9504
Jun30,104,9677
Jul01,105,9860
Jul02,106,10045
Jul03,107,10226
Jul04,108,10412
