day,dayNo,case
Feb15,1,3
Feb16,2,3
Feb17,3,3
Feb18,4,3
Feb19,5,3
Feb20,6,3
Feb21,7,3
Feb22,8,3
Feb23,9,3
Feb24,10,3
Feb25,11,3
Feb26,12,3
Feb27,13,3
Feb28,14,3
Feb29,15,3
Mar01,16,3
Mar02,17,3
Mar03,18,3
Mar04,19,3
Mar05,20,3
Mar06,21,5
Mar07,22,6
Mar08,23,10
Mar09,24,24
Mar10,25,33
Mar11,26,49
Mar12,27,52
Mar13,28,64
Mar14,29,111
Mar15,30,140
Mar16,31,142
Mar17,32,187
Mar18,33,202
Mar19,34,217
Mar20,35,230
Mar21,36,307
Mar22,37,380
Mar23,38,462
Mar24,39,552
Mar25,40,636
Mar26,41,707
Mar27,42,803
Mar28,43,1075
Mar29,44,1418
Mar30,45,1546
Mar31,46,2084
Apr01,47,2311
Apr02,48,2633
Apr03,49,3018
Apr04,50,3094
Apr05,51,3246
Apr06,52,3660
Apr07,53,3764
Apr08,54,3870
Apr09,55,4076
Apr10,56,4195
Apr11,57,4428
Apr12,58,4648
Apr13,59,4932
Apr14,60,5223
Apr15,61,5453
Apr16,62,5660
Apr17,63,5878
Apr18,64,6087
Apr19,65,6259
Apr20,66,6459
Apr21,67,6599
Apr22,68,6710
Apr23,69,6981
Apr24,70,7192
Apr25,71,7294
Apr26,72,7579
Apr27,73,7777
Apr28,74,7958
Apr29,75,8212
Apr30,76,8488
May01,77,8772
